Date,Open,High,Low,Close,Volume,Adj Close
2010-12-22,32.00,32.00,30.70,30.90,151000,30.90
2010-12-21,30.40,30.40,30.25,30.25,400,30.25
2010-12-20,29.95,30.30,29.95,29.95,000,29.95
2010-12-17,30.15,30.15,30.15,30.15,200,30.15
2010-12-16,29.85,30.40,29.85,29.85,000,29.85
2010-12-15,30.55,30.60,30.50,30.50,35800,30.50
2010-12-14,30.50,30.65,30.50,30.50,000,30.50
2010-12-13,30.10,30.30,30.10,30.10,300,30.10
2010-12-10,30.00,30.25,30.00,30.00,19900,30.00
2010-12-09,30.20,30.50,30.20,30.20,300,30.20
2010-12-08,30.55,30.55,30.55,30.55,6000,30.55
2010-12-07,30.35,30.65,30.35,30.35,000,30.35
2010-12-06,30.50,30.90,30.50,30.90,88100,30.90
2010-12-03,30.45,30.45,30.30,30.30,14000,30.30
2010-12-02,30.05,30.35,30.05,30.05,13400,30.05
2010-12-01,29.65,29.85,29.65,29.65,000,29.65
2010-11-30,28.60,29.40,28.60,28.60,000,28.60
2010-11-29,29.35,29.65,29.35,29.35,000,29.35
2010-11-26,29.70,29.70,29.70,29.70,1400,29.70
2010-11-25,29.70,29.70,29.70,29.70,2300,29.70
2010-11-24,29.75,29.75,29.75,29.75,1200,29.75
2010-11-23,30.10,30.10,30.10,30.10,2000,30.10
2010-11-22,30.25,30.25,30.25,30.25,6200,30.25
2010-11-19,29.50,30.20,29.50,29.50,000,29.50
2010-11-18,29.65,30.00,29.65,29.65,000,29.65
2010-11-17,29.25,29.60,29.25,29.25,000,29.25
2010-11-16,30.20,30.20,30.00,30.00,200,30.00
2010-11-15,30.35,30.35,30.35,30.35,27100,30.35
2010-11-12,30.10,30.45,30.10,30.10,000,30.10
2010-11-11,30.95,31.10,30.95,30.95,000,30.95
2010-11-10,31.40,31.40,30.65,30.85,92900,30.85
2010-11-09,31.25,31.55,31.20,31.55,89800,31.55
2010-11-08,31.45,31.45,31.25,31.25,300,31.25
2010-11-05,31.45,31.45,31.45,31.45,5900,31.45
2010-11-04,30.90,31.15,30.90,30.90,000,30.90
2010-11-03,30.65,31.00,30.65,30.65,34500,30.65
2010-11-02,30.40,30.55,30.40,30.40,000,30.40
2010-11-01,30.00,30.50,30.00,30.00,000,30.00
2010-10-29,29.55,29.85,29.55,29.55,000,29.55
2010-10-28,29.75,30.05,29.75,29.75,000,29.75
2010-10-27,30.25,30.25,30.25,30.25,200,30.25
2010-10-26,30.50,30.50,30.50,30.50,14700,30.50
2010-10-25,29.90,30.35,29.90,29.90,000,29.90
2010-10-22,29.75,30.05,29.75,29.75,000,29.75
2010-10-21,29.75,30.05,29.75,29.75,1800,29.75
2010-10-20,29.60,29.70,29.60,29.60,000,29.60
2010-10-19,29.60,29.60,29.60,29.60,1000,29.60
2010-10-18,30.20,30.20,30.10,30.10,2200,30.10
2010-10-15,30.15,30.30,30.15,30.15,4800,30.15
2010-10-14,30.25,30.55,30.25,30.25,2900,30.25
2010-10-13,29.50,29.50,29.50,29.50,1000,29.50
2010-10-12,29.25,29.55,29.25,29.25,000,29.25
2010-10-11,29.85,29.85,29.85,29.85,2300,29.85
2010-10-08,29.70,29.70,29.70,29.70,100,29.70
2010-10-07,29.75,29.75,29.75,29.75,1200,29.75
2010-10-06,29.45,30.05,29.45,29.45,000,29.45
2010-10-05,28.70,29.60,28.70,28.70,000,28.70
2010-10-04,28.20,29.70,28.20,28.20,000,28.20
2010-09-30,28.70,29.25,28.70,28.70,000,28.70
2010-09-29,27.90,29.15,27.90,27.90,000,27.90
2010-09-28,28.90,28.90,28.90,28.90,400,28.90
2010-09-27,28.90,28.90,28.90,28.90,2000,28.90
2010-09-24,28.35,28.35,28.35,28.35,400,28.35
2010-09-22,28.50,28.50,28.50,28.50,7200,28.50
2010-09-21,28.00,28.55,28.00,28.00,000,28.00
2010-09-20,28.20,28.50,28.20,28.20,000,28.20
2010-09-17,28.15,28.40,28.15,28.15,000,28.15
2010-09-16,27.85,28.10,27.85,27.85,000,27.85
2010-09-15,27.95,28.25,27.95,27.95,000,27.95
2010-09-14,27.85,28.05,27.85,27.85,000,27.85
2010-09-13,27.85,28.10,27.85,27.85,000,27.85
2010-09-10,27.25,27.65,27.25,27.25,000,27.25
2010-09-09,26.50,27.30,26.50,26.50,000,26.50
2010-09-08,26.50,27.20,26.50,26.50,000,26.50
2010-09-07,27.15,27.50,27.15,27.15,000,27.15
2010-09-06,27.15,27.45,27.15,27.15,000,27.15
2010-09-03,26.85,27.15,26.85,26.85,000,26.85
2010-09-02,25.50,26.90,25.50,25.50,000,25.50
2010-09-01,26.40,26.65,26.40,26.40,000,26.40
2010-08-31,26.25,26.25,26.10,26.15,5700,26.15
2010-08-30,26.20,26.55,26.20,26.20,000,26.20
2010-08-27,26.05,26.35,26.05,26.05,000,26.05
2010-08-26,26.10,26.45,26.10,26.10,150000,26.10
2010-08-25,26.30,26.30,26.30,26.30,9900,26.30
2010-08-24,26.80,26.80,26.80,26.80,200,26.80
2010-08-23,26.70,26.95,26.70,26.70,000,26.70
2010-08-20,26.65,27.00,26.65,26.65,000,26.65
2010-08-19,26.75,27.10,26.75,26.75,000,26.75
2010-08-18,26.40,26.80,26.40,26.40,000,26.40
2010-08-17,26.60,26.80,26.60,26.60,000,26.60
2010-08-16,25.50,26.75,25.50,25.50,000,25.50
2010-08-13,26.30,26.70,26.30,26.30,000,26.30
2010-08-12,26.30,26.30,26.30,26.30,600,26.30
2010-08-11,26.40,26.75,26.40,26.40,000,26.40
2010-08-10,26.80,27.05,26.80,26.80,000,26.80
2010-08-09,27.15,27.55,27.15,27.15,000,27.15
2010-08-06,27.00,27.00,27.00,27.00,500,27.00
2010-08-05,26.95,27.30,26.95,26.95,000,26.95
2010-08-04,26.00,27.30,26.00,26.00,000,26.00
2010-08-03,27.00,27.25,27.00,27.00,000,27.00
2010-08-02,26.90,27.25,26.90,26.90,000,26.90
2010-07-30,26.55,26.55,26.55,26.55,700,26.55
2010-07-29,26.40,26.75,26.40,26.40,000,26.40
2010-07-28,26.45,26.80,26.45,26.45,000,26.45
2010-07-27,26.45,26.80,26.45,26.45,000,26.45
2010-07-26,26.60,26.60,26.60,26.60,100,26.60
2010-07-23,26.00,26.50,26.00,26.00,000,26.00
2010-07-22,26.00,26.00,26.00,26.00,5000,26.00
2010-07-21,25.65,26.15,25.65,25.65,000,25.65
2010-07-20,25.50,26.00,25.50,25.50,000,25.50
2010-07-19,25.00,25.65,25.00,25.00,000,25.00
2010-07-16,25.30,26.00,25.30,25.30,000,25.30
