Date,Open,High,Low,Close,Volume,Adj Close
2010-12-22,10.18,10.20,10.06,10.06,170500,10.06
2010-12-21,9.90,10.16,9.90,10.04,487500,10.04
2010-12-20,9.98,9.99,9.64,9.83,905000,9.83
2010-12-17,9.83,9.88,9.83,9.88,300000,9.88
2010-12-16,10.16,10.16,9.80,10.16,1472500,10.16
2010-12-15,9.93,10.12,9.88,9.93,875700,9.93
2010-12-14,9.81,9.91,9.79,9.90,3218700,9.90
2010-12-13,9.65,9.98,9.63,9.93,1600000,9.93
2010-12-10,9.46,9.70,9.43,9.70,1047000,9.70
2010-12-09,9.56,9.58,9.50,9.50,778000,9.50
2010-12-08,9.74,9.80,9.64,9.70,769500,9.70
2010-12-07,9.51,9.88,9.51,9.76,413700,9.76
2010-12-06,9.66,9.78,9.64,9.68,556500,9.68
2010-12-03,9.72,9.72,9.72,9.72,34700,9.72
2010-12-02,9.83,9.83,9.73,9.81,737200,9.81
2010-12-01,9.49,9.65,9.41,9.65,2095700,9.65
2010-11-30,9.58,9.71,9.32,9.51,3616500,9.51
2010-11-29,9.49,9.59,9.49,9.56,1846200,9.56
2010-11-26,9.55,9.79,9.55,9.68,899000,9.68
2010-11-25,9.32,9.51,9.32,9.48,2418000,9.48
2010-11-24,9.32,9.35,9.19,9.32,1364500,9.32
2010-11-23,9.35,9.35,9.15,9.24,2504000,9.24
2010-11-22,9.74,9.74,9.43,9.50,1637700,9.50
2010-11-19,9.52,9.59,9.30,9.54,1390200,9.54
2010-11-18,9.44,9.59,9.33,9.53,993000,9.53
2010-11-17,9.41,9.53,9.25,9.27,1966000,9.27
2010-11-16,9.92,10.12,9.49,9.58,1152700,9.58
2010-11-15,10.54,10.60,10.14,10.14,928200,10.14
2010-11-12,10.98,11.26,10.40,10.54,2406700,10.54
2010-11-11,10.90,11.28,10.88,11.06,1045500,11.06
2010-11-10,10.88,10.88,10.68,10.80,410700,10.80
2010-11-09,10.74,10.90,10.74,10.82,70000,10.82
2010-11-08,10.68,10.76,10.54,10.76,544700,10.76
2010-11-05,10.74,10.86,10.70,10.74,1724000,10.74
2010-11-04,10.46,10.52,10.36,10.50,830500,10.50
2010-11-03,10.54,10.54,10.12,10.16,1754000,10.16
2010-11-02,10.54,10.78,10.44,10.44,392000,10.44
2010-11-01,10.20,10.64,10.20,10.64,1438200,10.64
2010-10-29,10.06,10.06,9.97,10.00,448000,10.00
2010-10-28,10.02,10.02,9.93,9.95,896000,9.95
2010-10-27,10.42,10.42,10.20,10.20,18000,10.20
2010-10-26,10.64,10.66,10.64,10.66,402500,10.66
2010-10-25,10.32,10.66,10.26,10.66,2500,10.66
2010-10-22,10.40,10.40,10.40,10.40,500,10.40
2010-10-21,10.20,10.28,10.20,10.24,102500,10.24
2010-10-20,10.10,10.30,9.67,10.26,391700,10.26
2010-10-19,10.04,10.22,9.86,10.22,26500,10.22
2010-10-18,10.16,10.16,10.12,10.12,64000,10.12
2010-10-15,9.77,10.16,9.76,10.10,4654000,10.10
2010-10-14,9.60,9.94,9.60,9.93,7650700,9.93
2010-10-13,9.55,9.55,9.40,9.55,2871000,9.55
2010-10-12,9.27,9.70,9.26,9.54,1505500,9.54
2010-10-11,9.35,9.39,9.19,9.20,7330500,9.20
2010-10-08,8.50,8.80,8.50,8.78,3944200,8.78
2010-10-07,8.42,8.42,8.34,8.34,693200,8.34
2010-10-06,8.37,8.38,8.35,8.36,288000,8.36
2010-10-05,6.58,8.50,6.58,6.58,000,6.58
2010-10-04,8.09,8.25,8.09,8.25,1384200,8.25
2010-09-30,7.95,7.97,7.90,7.96,2310000,7.96
2010-09-29,7.82,7.95,7.78,7.89,4050000,7.89
2010-09-28,7.79,7.80,7.62,7.63,3770700,7.63
2010-09-27,7.74,7.87,7.74,7.86,3773200,7.86
2010-09-24,7.64,7.69,7.64,7.69,3276500,7.69
2010-09-22,7.65,7.69,7.65,7.67,3589500,7.67
2010-09-21,7.62,7.65,7.62,7.65,2414000,7.65
2010-09-20,7.66,7.66,7.52,7.61,3694500,7.61
2010-09-17,7.55,7.71,7.55,7.69,3011200,7.69
2010-09-16,7.63,7.63,7.44,7.55,4769000,7.55
2010-09-15,7.66,7.67,7.59,7.65,2429700,7.65
2010-09-14,7.72,7.73,7.67,7.69,2956500,7.69
2010-09-13,7.70,7.75,7.70,7.72,4588200,7.72
2010-09-10,7.60,7.66,7.54,7.62,3101200,7.62
2010-09-09,7.67,7.69,7.64,7.65,2165500,7.65
2010-09-08,7.72,7.80,7.70,7.79,1623700,7.79
2010-09-07,7.85,7.85,7.80,7.83,738700,7.83
2010-09-06,7.73,7.83,7.67,7.81,1924000,7.81
2010-09-03,7.65,7.69,7.57,7.57,4115000,7.57
2010-09-02,7.68,7.68,7.62,7.64,3301700,7.64
2010-09-01,7.68,7.68,7.52,7.62,2463500,7.62
2010-08-31,7.57,7.58,7.52,7.53,3134700,7.53
2010-08-30,7.65,7.68,7.63,7.64,4462200,7.64
2010-08-27,7.54,7.55,7.53,7.53,900000,7.53
2010-08-26,7.62,7.71,7.61,7.63,2460000,7.63
2010-08-25,7.68,7.70,7.53,7.55,3537700,7.55
2010-08-24,7.70,7.85,7.67,7.69,6018000,7.69
2010-08-23,7.80,7.81,7.71,7.78,1205000,7.78
2010-08-20,8.00,8.01,7.82,7.88,2549200,7.88
2010-08-19,8.02,8.11,7.98,8.09,4541200,8.09
2010-08-18,7.85,7.88,7.85,7.86,3650000,7.86
2010-08-17,7.88,7.90,7.85,7.90,1200000,7.90
2010-08-16,7.64,7.90,7.63,7.84,2933000,7.84
2010-08-13,7.53,7.67,7.50,7.64,6700000,7.64
2010-08-12,7.63,7.63,7.53,7.59,3765700,7.59
2010-08-11,7.77,7.78,7.68,7.73,7068200,7.73
2010-08-10,8.11,8.11,7.76,7.76,4450700,7.76
2010-08-09,8.02,8.09,7.99,8.08,3834700,8.08
2010-08-06,7.85,7.99,7.76,7.98,6750000,7.98
2010-08-05,7.98,8.00,7.87,7.92,3951500,7.92
2010-08-04,8.06,8.08,7.93,8.05,4937000,8.05
2010-08-03,8.18,8.32,8.00,8.04,12261500,8.04
2010-08-02,8.18,8.20,8.16,8.19,2235000,8.19
2010-07-30,8.10,8.10,8.01,8.07,3010500,8.07
2010-07-29,8.15,8.22,8.12,8.18,3236500,8.18
2010-07-28,7.88,8.21,7.86,8.15,4714000,8.15
2010-07-27,7.87,7.96,7.87,7.93,5150000,7.93
2010-07-26,7.99,7.99,7.86,7.95,4524500,7.95
2010-07-23,7.87,7.95,7.87,7.95,3364500,7.95
2010-07-22,7.70,7.86,7.69,7.86,2702500,7.86
2010-07-21,7.63,7.70,7.63,7.70,4810700,7.70
2010-07-20,7.55,7.61,7.48,7.60,4963200,7.60
2010-07-19,7.29,7.37,7.26,7.35,3339000,7.35
2010-07-16,6.90,7.11,6.90,7.11,2243700,7.11
2010-07-15,6.95,7.08,6.95,6.95,1294000,6.95
2010-07-14,7.04,7.10,6.96,6.99,1412000,6.99
2010-07-13,6.96,6.99,6.93,6.97,378000,6.97
2010-07-12,6.98,7.11,6.97,7.07,890200,7.07
2010-07-09,6.84,6.99,6.84,6.99,33700,6.99
2010-07-08,6.70,6.71,6.69,6.71,121000,6.71
