Date,Open,High,Low,Close,Volume,Adj Close
2010-12-22,4.55,4.58,4.54,4.56,1775700,4.56
2010-12-21,4.55,4.58,4.55,4.58,607500,4.58
2010-12-20,4.58,4.59,4.49,4.52,5818900,4.52
2010-12-17,4.55,4.59,4.54,4.59,4360000,4.59
2010-12-16,4.58,4.58,4.53,4.55,1544800,4.55
2010-12-15,4.58,4.60,4.58,4.58,1897200,4.58
2010-12-14,4.57,4.62,4.56,4.62,2165400,4.62
2010-12-13,4.50,4.78,4.50,4.50,000,4.50
2010-12-10,4.58,4.60,4.53,4.59,2400300,4.59
2010-12-09,4.58,4.59,4.54,4.56,3583800,4.56
2010-12-08,4.61,4.62,4.55,4.58,1363000,4.58
2010-12-07,4.59,4.63,4.58,4.61,1355400,4.61
2010-12-06,4.65,4.66,4.64,4.65,1275300,4.65
2010-12-03,4.74,4.76,4.71,4.72,368500,4.72
2010-12-02,4.74,4.80,4.71,4.71,1197400,4.71
2010-12-01,4.66,4.69,4.66,4.69,638500,4.69
2010-11-30,4.60,4.66,4.55,4.55,1708200,4.55
2010-11-29,4.61,4.66,4.57,4.66,1131700,4.66
2010-11-26,4.60,4.62,4.58,4.61,491800,4.61
2010-11-25,4.55,4.63,4.52,4.63,1092100,4.63
2010-11-24,4.51,4.58,4.48,4.50,999400,4.50
2010-11-23,4.59,4.60,4.50,4.50,2308900,4.50
2010-11-22,4.64,4.67,4.59,4.65,1499800,4.65
2010-11-19,4.61,4.67,4.53,4.65,2617600,4.65
2010-11-18,4.58,4.60,4.56,4.58,892800,4.58
2010-11-17,4.60,4.65,4.52,4.53,976500,4.53
2010-11-16,4.72,4.79,4.59,4.62,1696000,4.62
2010-11-15,4.83,4.83,4.73,4.77,2640600,4.77
2010-11-12,4.98,4.98,4.73,4.75,1597500,4.75
2010-11-11,4.97,5.08,4.97,4.98,1344600,4.98
2010-11-10,4.99,5.00,4.88,4.99,1634800,4.99
2010-11-09,5.03,5.03,5.02,5.03,204700,5.03
2010-11-08,4.99,5.05,4.99,5.04,3714300,5.04
2010-11-05,4.90,4.99,4.90,4.96,2600900,4.96
2010-11-04,4.83,4.88,4.83,4.88,1284700,4.88
2010-11-03,4.82,4.85,4.79,4.80,1385100,4.80
2010-11-02,4.81,4.89,4.81,4.87,1021000,4.87
2010-11-01,4.74,4.81,4.74,4.81,1443600,4.81
2010-10-29,4.69,4.73,4.69,4.69,000,4.69
2010-10-28,4.62,4.66,4.62,4.62,000,4.62
2010-10-27,4.82,4.82,4.82,4.82,9400,4.82
2010-10-26,4.82,4.82,4.78,4.80,557100,4.80
2010-10-25,4.82,4.82,4.81,4.81,17100,4.81
2010-10-22,4.74,4.76,4.74,4.74,23400,4.74
2010-10-21,4.80,4.80,4.72,4.75,360900,4.75
2010-10-20,4.77,4.79,4.74,4.74,106600,4.74
2010-10-19,4.93,4.93,4.89,4.90,72400,4.90
2010-10-18,4.93,5.01,4.86,4.97,203800,4.97
2010-10-15,4.88,4.94,4.88,4.91,1696000,4.91
2010-10-14,4.80,4.88,4.78,4.87,1768900,4.87
2010-10-13,4.80,4.80,4.79,4.80,415800,4.80
2010-10-12,4.78,4.78,4.78,4.78,399600,4.78
2010-10-11,4.73,4.89,4.73,4.82,413100,4.82
2010-10-08,4.63,4.63,4.61,4.61,158800,4.61
2010-10-07,4.61,4.62,4.61,4.62,58500,4.62
2010-10-06,4.59,4.63,4.59,4.59,000,4.59
2010-10-05,4.56,4.60,4.56,4.56,000,4.56
2010-10-04,4.53,4.58,4.53,4.53,000,4.53
2010-09-30,4.45,4.46,4.42,4.44,1697400,4.44
2010-09-29,4.42,4.46,4.42,4.46,2969500,4.46
2010-09-28,4.48,4.49,4.42,4.43,4532800,4.43
2010-09-27,4.46,4.51,4.45,4.51,2473200,4.51
2010-09-24,4.44,4.45,4.43,4.45,954900,4.45
2010-09-22,4.42,4.47,4.41,4.46,1768900,4.46
2010-09-21,4.43,4.44,4.40,4.41,2780100,4.41
2010-09-20,4.47,4.49,4.45,4.46,2406600,4.46
2010-09-17,4.41,4.51,4.41,4.49,5037300,4.49
2010-09-16,4.42,4.43,4.34,4.39,3699900,4.39
2010-09-15,4.40,4.46,4.40,4.45,2306700,4.45
2010-09-14,4.29,4.39,4.27,4.39,2892100,4.39
2010-09-13,4.26,4.28,4.23,4.28,3089200,4.28
2010-09-10,4.26,4.26,4.21,4.23,3084300,4.23
2010-09-09,4.26,4.28,4.24,4.25,3590500,4.25
2010-09-08,4.26,4.27,4.23,4.23,1411200,4.23
2010-09-07,4.29,4.29,4.27,4.29,2443900,4.29
2010-09-06,4.27,4.29,4.23,4.29,1191600,4.29
2010-09-03,4.23,4.23,4.21,4.21,400500,4.21
2010-09-02,4.22,4.23,4.21,4.23,2869200,4.23
2010-09-01,4.24,4.24,4.20,4.20,432900,4.20
2010-08-31,4.26,4.28,4.23,4.24,2326500,4.24
2010-08-30,4.31,4.34,4.30,4.31,2101900,4.31
2010-08-27,4.35,4.35,4.27,4.27,1597500,4.27
2010-08-26,4.31,4.37,4.31,4.37,1336900,4.37
2010-08-25,4.34,4.35,4.29,4.30,3529300,4.30
2010-08-24,4.39,4.44,4.39,4.39,2826000,4.39
2010-08-23,4.42,4.43,4.37,4.39,1955200,4.39
2010-08-20,4.48,4.48,4.40,4.43,1926000,4.43
2010-08-19,4.49,4.49,4.47,4.47,1473700,4.47
2010-08-18,4.53,4.53,4.48,4.49,2779600,4.49
2010-08-17,4.47,4.49,4.46,4.49,2244600,4.49
2010-08-16,4.50,4.50,4.50,4.50,1048500,4.50
2010-08-13,4.44,4.46,4.43,4.44,1125000,4.44
2010-08-12,4.44,4.44,4.38,4.41,5263200,4.41
2010-08-11,4.54,4.54,4.47,4.47,6710800,4.47
2010-08-10,4.63,4.63,4.50,4.50,3747100,4.50
2010-08-09,4.61,4.62,4.58,4.62,3290400,4.62
2010-08-06,4.52,4.60,4.51,4.60,5782000,4.60
2010-08-05,4.54,4.55,4.50,4.52,3941100,4.52
2010-08-04,4.56,4.59,4.54,4.58,5496700,4.58
2010-08-03,4.64,4.67,4.59,4.59,2496600,4.59
2010-08-02,4.65,4.67,4.64,4.67,1895400,4.67
2010-07-30,4.60,4.63,4.60,4.62,3783600,4.62
2010-07-29,4.64,4.72,4.62,4.65,1773000,4.65
2010-07-28,4.55,4.64,4.55,4.64,4282600,4.64
2010-07-27,4.54,4.57,4.54,4.54,5724000,4.54
2010-07-26,4.54,4.58,4.51,4.56,6641100,4.56
2010-07-23,4.50,4.51,4.49,4.50,994000,4.50
2010-07-22,4.44,4.47,4.41,4.47,4887000,4.47
2010-07-21,4.29,4.43,4.29,4.42,7097400,4.42
2010-07-20,4.27,4.28,4.27,4.28,799200,4.28
2010-07-19,4.16,4.21,4.16,4.20,4428000,4.20
2010-07-16,4.10,4.14,4.08,4.14,2493400,4.14
2010-07-15,4.15,4.18,4.11,4.11,1948900,4.11
2010-07-14,4.12,4.18,4.12,4.15,3282300,4.15
2010-07-13,4.10,4.12,4.09,4.11,1352700,4.11
2010-07-12,4.09,4.11,4.09,4.10,1732000,4.10
2010-07-09,4.07,4.10,4.07,4.10,712800,4.10
2010-07-08,4.05,4.05,3.99,3.99,799600,3.99
2010-07-07,4.05,4.05,4.04,4.04,779400,4.04
2010-07-06,4.04,4.10,4.04,4.10,1439100,4.10
2010-07-05,4.07,4.08,4.03,4.03,2304400,4.03
2010-07-02,4.10,4.12,4.06,4.07,1945300,4.07
2010-06-30,4.02,4.11,4.00,4.10,1578100,4.10
2010-06-29,4.08,4.10,4.08,4.08,1293700,4.08
2010-06-28,4.19,4.20,4.17,4.19,815800,4.19
2010-06-25,4.21,4.21,4.14,4.20,1048500,4.20
2010-06-24,4.08,4.20,4.08,4.08,000,4.08
2010-06-23,4.19,4.21,4.19,4.21,100800,4.21
2010-06-22,4.23,4.23,4.22,4.22,93100,4.22
2010-06-21,4.13,4.16,4.13,4.15,624100,4.15
2010-06-18,4.18,4.19,4.11,4.12,689800,4.12
2010-06-17,4.05,4.19,4.05,4.05,000,4.05
2010-06-15,4.20,4.26,4.20,4.20,000,4.20
2010-06-14,4.24,4.24,4.19,4.22,1750900,4.22
2010-06-11,4.20,4.21,4.15,4.19,754200,4.19
2010-06-10,4.18,4.22,4.17,4.19,726700,4.19
2010-06-09,4.18,4.24,4.16,4.22,1957900,4.22
2010-06-08,4.17,4.18,4.17,4.17,000,4.17
2010-06-07,4.18,4.18,4.14,4.14,383400,4.14
2010-06-04,4.18,4.22,4.18,4.18,000,4.18
2010-06-03,4.23,4.24,4.18,4.18,911200,4.18
2010-06-02,4.21,4.21,4.20,4.21,58500,4.21
2010-06-01,4.28,4.30,4.19,4.19,859000,4.19
2010-05-31,4.11,4.25,4.11,4.11,000,4.11
2010-05-28,4.31,4.31,4.31,4.31,399600,4.31
2010-05-27,4.25,4.29,4.25,4.29,236200,4.29
2010-05-26,4.28,4.33,4.26,4.28,1550700,4.28
2010-05-25,4.25,4.30,4.25,4.25,000,4.25
2010-05-24,4.35,4.41,4.35,4.40,1014300,4.40
2010-05-20,4.30,4.35,4.28,4.29,1033600,4.29
2010-05-19,4.34,4.40,4.32,4.35,1050700,4.35
2010-05-18,4.40,4.40,4.30,4.39,1444900,4.39
2010-05-17,4.35,4.41,4.35,4.35,000,4.35
2010-05-14,4.54,4.59,4.53,4.57,1097100,4.57
2010-05-13,4.42,4.50,4.35,4.49,1408000,4.49
2010-05-12,4.34,4.55,4.30,4.37,2157700,4.37
2010-05-11,4.48,4.49,4.34,4.36,700200,4.36
2010-05-10,4.40,4.43,4.40,4.40,000,4.40
2010-05-07,4.43,4.43,4.43,4.43,599400,4.43
2010-05-06,4.55,4.55,4.45,4.45,123700,4.45
2010-05-05,4.55,4.58,4.55,4.55,000,4.55
2010-05-04,4.56,4.60,4.56,4.56,000,4.56
2010-05-03,4.59,4.63,4.59,4.59,000,4.59
2010-04-30,4.62,4.68,4.62,4.62,000,4.62
2010-04-29,4.66,4.66,4.61,4.61,39100,4.61
2010-04-28,4.61,4.65,4.59,4.60,750100,4.60
2010-04-27,4.49,4.68,4.49,4.49,000,4.49
2010-04-26,4.68,4.68,4.68,4.68,1800,4.68
2010-04-23,4.66,4.71,4.66,4.66,000,4.66
2010-04-22,4.74,4.74,4.71,4.73,434700,4.73
2010-04-21,4.70,4.71,4.68,4.68,1034100,4.68
2010-04-20,4.55,4.59,4.55,4.55,000,4.55
