Date,Open,High,Low,Close,Volume,Adj Close
2010-12-22,4.16,4.20,4.15,4.17,2604200,4.17
2010-12-21,4.10,4.14,4.10,4.12,3306000,4.12
2010-12-20,4.05,4.11,4.04,4.07,3998500,4.07
2010-12-17,4.11,4.16,4.11,4.14,1597200,4.14
2010-12-16,4.14,4.14,4.09,4.09,2648800,4.09
2010-12-15,4.17,4.19,4.12,4.13,2866600,4.13
2010-12-14,4.18,4.20,4.16,4.20,2544300,4.20
2010-12-13,4.15,4.21,4.12,4.19,1508100,4.19
2010-12-10,4.14,4.14,4.11,4.11,1108800,4.11
2010-12-09,4.16,4.18,4.14,4.15,2220900,4.15
2010-12-08,4.22,4.22,4.20,4.20,1958000,4.20
2010-12-07,4.17,4.17,4.17,4.17,1000,4.17
2010-12-06,4.27,4.28,4.22,4.22,97900,4.22
2010-12-03,4.25,4.30,4.25,4.25,000,4.25
2010-12-02,4.24,4.24,4.24,4.24,25800,4.24
2010-12-01,4.15,4.20,4.15,4.15,000,4.15
2010-11-30,4.19,4.19,4.15,4.15,113800,4.15
2010-11-29,4.22,4.25,4.19,4.23,669300,4.23
2010-11-26,4.21,4.24,4.20,4.20,490000,4.20
2010-11-25,4.21,4.24,4.21,4.24,942700,4.24
2010-11-24,4.00,4.18,4.00,4.16,466400,4.16
2010-11-23,4.19,4.19,4.09,4.09,793100,4.09
2010-11-22,4.30,4.31,4.21,4.27,1416800,4.27
2010-11-19,4.25,4.30,4.23,4.30,1434400,4.30
2010-11-18,4.22,4.23,4.20,4.22,2060800,4.22
2010-11-17,4.26,4.30,4.15,4.16,1520700,4.16
2010-11-16,4.33,4.42,4.23,4.27,2507400,4.27
2010-11-15,4.45,4.46,4.36,4.38,3119000,4.38
2010-11-12,4.66,4.66,4.40,4.40,708900,4.40
2010-11-11,4.64,4.79,4.64,4.67,935000,4.67
2010-11-10,4.78,4.78,4.65,4.71,2608600,4.71
2010-11-09,4.74,4.77,4.71,4.75,1320500,4.75
2010-11-08,4.71,4.77,4.67,4.76,1447000,4.76
2010-11-05,4.69,4.73,4.67,4.69,4106200,4.69
2010-11-04,4.56,4.67,4.54,4.66,1939300,4.66
2010-11-03,4.56,4.58,4.52,4.52,920200,4.52
2010-11-02,4.56,4.62,4.55,4.58,2957300,4.58
2010-11-01,4.43,4.56,4.43,4.56,993800,4.56
2010-10-29,4.39,4.43,4.37,4.41,626400,4.41
2010-10-28,4.45,4.45,4.35,4.35,3196000,4.35
2010-10-27,4.59,4.59,4.49,4.49,2557500,4.49
2010-10-26,4.54,4.58,4.51,4.57,3361600,4.57
2010-10-25,4.44,4.53,4.44,4.53,1006500,4.53
2010-10-22,4.39,4.40,4.38,4.39,1203900,4.39
2010-10-21,4.41,4.41,4.35,4.35,14800,4.35
2010-10-20,4.40,4.46,4.40,4.44,26900,4.44
2010-10-19,4.55,4.55,4.51,4.51,4900,4.51
2010-10-18,4.50,4.61,4.50,4.52,72600,4.52
2010-10-15,4.38,4.52,4.38,4.52,431700,4.52
2010-10-14,4.35,4.37,4.33,4.37,1418400,4.37
2010-10-13,4.22,4.28,4.22,4.28,2395800,4.28
2010-10-12,4.27,4.28,4.19,4.28,507100,4.28
2010-10-11,4.22,4.29,4.22,4.28,95100,4.28
2010-10-08,4.14,4.19,4.14,4.14,000,4.14
2010-10-07,4.08,4.10,4.08,4.10,919000,4.10
2010-10-06,4.09,4.11,4.08,4.09,181500,4.09
2010-10-05,4.05,4.05,4.03,4.03,133100,4.03
2010-10-04,4.00,4.02,3.99,4.02,1791900,4.02
2010-09-30,3.92,3.95,3.91,3.92,3151500,3.92
2010-09-29,3.91,3.94,3.91,3.92,2193900,3.92
2010-09-28,3.95,3.96,3.93,3.93,1085700,3.93
2010-09-27,3.98,4.01,3.97,4.00,5750200,4.00
2010-09-24,3.93,3.95,3.93,3.95,2351200,3.95
2010-09-22,3.93,3.95,3.93,3.95,2393600,3.95
2010-09-21,3.93,3.99,3.91,3.99,4676100,3.99
2010-09-20,3.91,3.93,3.87,3.92,4215700,3.92
2010-09-17,3.86,3.92,3.86,3.90,3886300,3.90
2010-09-16,3.82,3.86,3.81,3.85,3817000,3.85
2010-09-15,3.89,3.90,3.84,3.90,3311500,3.90
2010-09-14,3.89,3.90,3.89,3.90,1019700,3.90
2010-09-13,3.87,3.89,3.86,3.88,1322200,3.88
2010-09-10,3.78,3.82,3.78,3.80,1685200,3.80
2010-09-09,3.83,3.84,3.83,3.84,399300,3.84
2010-09-08,3.88,3.89,3.87,3.87,759000,3.87
2010-09-07,3.88,3.92,3.88,3.90,669900,3.90
2010-09-06,3.84,3.87,3.83,3.87,694100,3.87
2010-09-03,3.75,3.77,3.75,3.77,936600,3.77
2010-09-02,3.73,3.76,3.72,3.76,1962400,3.76
2010-09-01,3.79,3.79,3.70,3.74,1365600,3.74
2010-08-31,3.78,3.79,3.76,3.77,1994300,3.77
2010-08-30,3.83,3.85,3.80,3.84,2952400,3.84
2010-08-27,3.81,3.81,3.77,3.77,2907800,3.77
2010-08-26,3.82,3.83,3.79,3.80,2587200,3.80
2010-08-25,3.81,3.81,3.76,3.77,2644900,3.77
2010-08-24,3.88,3.89,3.84,3.84,3501800,3.84
2010-08-23,3.71,3.89,3.71,3.71,000,3.71
2010-08-20,3.92,3.93,3.90,3.92,1797900,3.92
2010-08-19,3.94,3.94,3.93,3.93,1998700,3.93
2010-08-18,4.00,4.00,3.93,3.94,2102100,3.94
2010-08-17,4.00,4.00,3.96,3.97,922900,3.97
2010-08-16,3.97,4.02,3.96,3.99,1283700,3.99
2010-08-13,3.83,3.86,3.83,3.84,2826400,3.84
2010-08-12,3.85,3.86,3.79,3.79,929500,3.79
2010-08-11,3.90,3.91,3.86,3.87,4050700,3.87
2010-08-10,4.03,4.03,3.90,3.91,1917800,3.91
2010-08-09,4.05,4.07,4.03,4.06,694100,4.06
2010-08-06,3.95,4.04,3.95,4.04,3792900,4.04
2010-08-05,3.94,3.96,3.93,3.95,1595000,3.95
2010-08-04,3.98,3.99,3.91,3.99,6213900,3.99
2010-08-03,4.11,4.11,3.95,3.95,1905200,3.95
2010-08-02,4.05,4.11,4.05,4.11,1255100,4.11
2010-07-30,4.02,4.05,4.01,4.04,2842400,4.04
2010-07-29,4.06,4.09,4.04,4.07,2093200,4.07
2010-07-28,3.96,4.05,3.96,4.04,4962100,4.04
2010-07-27,3.96,4.00,3.95,3.97,4143700,3.97
2010-07-26,3.90,3.97,3.89,3.95,5272800,3.95
2010-07-23,3.88,3.92,3.88,3.92,3813700,3.92
2010-07-22,3.83,3.91,3.82,3.91,6810600,3.91
2010-07-21,3.74,3.85,3.74,3.84,5847000,3.84
2010-07-20,3.67,3.74,3.66,3.74,6059900,3.74
2010-07-19,3.56,3.64,3.56,3.64,4984100,3.64
2010-07-16,3.51,3.57,3.49,3.56,5244200,3.56
2010-07-15,3.61,3.61,3.51,3.52,2579500,3.52
2010-07-14,3.58,3.62,3.56,3.56,2126800,3.56
2010-07-13,3.58,3.59,3.53,3.53,3038200,3.53
2010-07-12,3.60,3.61,3.56,3.60,4450600,3.60
2010-07-09,3.49,3.57,3.48,3.56,2453500,3.56
2010-07-08,3.51,3.51,3.51,3.51,598900,3.51
2010-07-07,3.47,3.51,3.45,3.49,5567100,3.49
2010-07-06,3.43,3.49,3.42,3.49,3254300,3.49
2010-07-05,3.41,3.45,3.38,3.40,2398500,3.40
2010-07-02,3.44,3.45,3.36,3.44,2763700,3.44
2010-06-30,3.46,3.49,3.42,3.44,3682200,3.44
2010-06-29,3.63,3.64,3.48,3.51,4983500,3.51
2010-06-28,3.70,3.71,3.63,3.64,1584000,3.64
2010-06-25,3.71,3.74,3.67,3.72,5130900,3.72
2010-06-24,3.73,3.76,3.72,3.72,1509700,3.72
2010-06-23,3.78,3.78,3.74,3.77,142400,3.77
2010-06-22,3.78,3.78,3.77,3.77,96800,3.77
2010-06-21,3.66,3.78,3.66,3.78,1040600,3.78
2010-06-18,3.69,3.72,3.62,3.64,1322700,3.64
2010-06-17,3.67,3.67,3.67,3.67,199600,3.67
2010-06-15,3.71,3.76,3.71,3.71,000,3.71
2010-06-14,3.73,3.74,3.71,3.74,748000,3.74
2010-06-11,3.74,3.74,3.70,3.70,892600,3.70
2010-06-10,3.70,3.74,3.69,3.72,1025200,3.72
2010-06-09,3.67,3.75,3.65,3.75,3027200,3.75
2010-06-08,3.64,3.68,3.63,3.68,492800,3.68
2010-06-07,3.62,3.67,3.62,3.62,000,3.62
2010-06-04,3.66,3.69,3.63,3.69,921800,3.69
2010-06-03,3.72,3.77,3.66,3.67,816700,3.67
2010-06-02,3.68,3.73,3.62,3.73,1907400,3.73
