Date,Open,High,Low,Close,Volume,Adj Close
2010-12-23,10.52,10.52,10.28,10.34,3523000,10.34
2010-12-22,10.48,10.60,10.46,10.52,702700,10.52
2010-12-21,10.50,10.56,10.46,10.48,793000,10.48
2010-12-20,10.56,10.58,10.32,10.44,1058500,10.44
2010-12-17,10.42,10.54,10.40,10.54,2043700,10.54
2010-12-16,10.54,10.56,10.34,10.34,1747200,10.34
2010-12-15,10.70,10.70,10.48,10.48,1935500,10.48
2010-12-14,10.68,10.72,10.64,10.70,1210200,10.70
2010-12-13,10.58,10.76,10.58,10.70,1086200,10.70
2010-12-10,10.44,10.50,10.38,10.44,391000,10.44
2010-12-09,10.56,10.60,10.38,10.40,513500,10.40
2010-12-08,10.70,10.78,10.60,10.64,1111200,10.64
2010-12-07,10.52,10.78,10.52,10.72,1452500,10.72
2010-12-06,10.70,10.94,10.62,10.62,380700,10.62
2010-12-03,10.90,10.90,10.80,10.80,178600,10.80
2010-12-02,10.88,10.92,10.84,10.84,205000,10.84
2010-12-01,10.60,10.84,10.60,10.84,605500,10.84
2010-11-30,10.92,10.98,10.54,10.74,1906700,10.74
2010-11-29,10.80,10.98,10.76,10.98,92200,10.98
2010-11-26,10.82,10.92,10.78,10.84,1183000,10.84
2010-11-25,10.80,10.92,10.78,10.90,2489800,10.90
2010-11-24,10.56,10.76,10.48,10.66,2086200,10.66
2010-11-23,10.78,10.78,10.46,10.46,1681200,10.46
2010-11-22,10.74,10.84,10.64,10.82,1289700,10.82
2010-11-19,10.64,10.80,10.46,10.74,1836500,10.74
2010-11-18,10.46,10.64,10.36,10.64,1272600,10.64
2010-11-17,10.58,10.62,10.24,10.28,3867200,10.28
2010-11-16,11.00,11.06,10.52,10.58,6403500,10.58
2010-11-15,11.12,11.28,10.80,10.88,9170700,10.88
2010-11-12,11.50,11.50,10.82,10.88,455700,10.88
2010-11-11,11.50,11.68,11.46,11.46,1015700,11.46
2010-11-10,11.64,11.64,11.50,11.64,310000,11.64
2010-11-09,11.70,11.74,11.64,11.68,1514000,11.68
2010-11-08,11.44,11.76,11.36,11.76,668500,11.76
2010-11-05,11.60,12.00,11.30,11.44,1814700,11.44
2010-11-04,11.06,11.24,11.00,11.20,1556200,11.20
2010-11-03,11.02,11.08,10.92,10.98,2050200,10.98
2010-11-02,11.20,11.26,11.10,11.14,1709000,11.14
2010-11-01,10.94,11.28,10.94,11.26,2640200,11.26
2010-10-29,10.86,11.00,10.78,10.94,1755000,10.94
2010-10-28,11.04,11.04,10.66,10.70,1391700,10.70
2010-10-27,11.42,11.42,11.00,11.04,2051500,11.04
2010-10-26,11.44,11.46,11.24,11.38,2529500,11.38
2010-10-25,11.50,11.56,11.36,11.40,2687200,11.40
2010-10-22,11.06,11.24,11.04,11.20,942000,11.20
2010-10-21,11.08,11.10,10.88,11.04,574700,11.04
2010-10-20,10.80,11.00,10.74,10.90,511000,10.90
2010-10-19,10.64,10.92,10.64,10.92,342200,10.92
2010-10-18,10.82,10.82,10.44,10.52,1654200,10.52
2010-10-15,11.00,11.00,10.74,10.84,606200,10.84
2010-10-14,11.02,11.02,10.78,10.82,1849000,10.82
2010-10-13,10.66,11.00,10.66,11.00,1942700,11.00
2010-10-12,10.70,10.80,10.64,10.68,522200,10.68
2010-10-11,10.64,10.72,10.52,10.62,451200,10.62
2010-10-08,10.44,10.64,10.42,10.64,406700,10.64
2010-10-07,11.00,11.00,10.42,10.48,2622200,10.48
2010-10-06,10.48,10.54,10.46,10.52,1329800,10.52
2010-10-05,10.34,10.44,10.34,10.36,283700,10.36
2010-10-04,10.34,10.42,10.30,10.42,886500,10.42
2010-09-30,10.14,10.20,10.12,10.18,971500,10.18
2010-09-29,10.30,10.32,10.10,10.10,2324500,10.10
2010-09-28,10.30,10.32,10.20,10.20,1004700,10.20
2010-09-27,10.18,10.36,10.18,10.34,1854500,10.34
2010-09-24,10.26,10.26,10.00,10.12,888400,10.12
2010-09-22,10.02,10.08,10.00,10.06,2273500,10.06
2010-09-21,9.99,10.06,9.98,10.02,1543300,10.02
2010-09-20,9.83,9.93,9.71,9.89,5280100,9.89
2010-09-17,9.61,9.86,9.58,9.85,2943700,9.85
2010-09-16,9.76,9.76,9.48,9.62,3407500,9.62
2010-09-15,9.83,9.89,9.73,9.81,1573500,9.81
2010-09-14,9.95,9.95,9.87,9.90,2279200,9.90
2010-09-13,9.77,9.85,9.76,9.79,3736200,9.79
2010-09-10,9.54,9.60,9.45,9.56,2776200,9.56
2010-09-09,9.75,9.75,9.54,9.54,2775500,9.54
2010-09-08,9.66,9.74,9.66,9.74,651700,9.74
2010-09-07,9.70,9.73,9.62,9.72,481000,9.72
2010-09-06,9.79,9.79,9.59,9.71,1895200,9.71
2010-09-03,9.82,9.82,9.62,9.62,1788200,9.62
2010-09-02,9.55,9.56,9.51,9.52,1403500,9.52
2010-09-01,9.46,9.46,9.26,9.36,675200,9.36
2010-08-31,9.44,9.47,9.32,9.35,3364200,9.35
2010-08-30,9.42,9.48,9.41,9.46,2868000,9.46
2010-08-27,9.28,9.28,9.20,9.20,2641500,9.20
2010-08-26,9.31,9.37,9.25,9.30,5384200,9.30
2010-08-25,9.33,9.33,9.15,9.16,4520000,9.16
2010-08-24,9.21,9.38,9.21,9.32,4123000,9.32
2010-08-23,9.23,9.23,9.22,9.23,540000,9.23
2010-08-20,9.53,9.53,9.26,9.28,6689000,9.28
2010-08-19,9.53,9.59,9.48,9.51,3664500,9.51
2010-08-18,9.66,9.66,9.51,9.55,5923700,9.55
2010-08-17,9.44,9.56,9.44,9.56,6810000,9.56
2010-08-16,9.19,9.39,9.18,9.33,8924000,9.33
2010-08-13,9.03,9.17,8.99,9.11,10064200,9.11
2010-08-12,9.05,9.15,8.97,9.02,11464500,9.02
2010-08-11,9.12,9.21,9.03,9.12,10251200,9.12
2010-08-10,9.39,9.39,9.07,9.07,9324700,9.07
2010-08-09,9.20,9.45,9.20,9.36,8114500,9.36
2010-08-06,9.17,9.29,8.99,9.27,13369000,9.27
2010-08-05,9.15,9.19,9.15,9.18,3497500,9.18
