Date,Open,High,Low,Close,Volume,Adj Close
2010-12-23,8.80,8.80,8.62,8.62,2529600,8.62
2010-12-22,8.82,8.90,8.76,8.79,3644400,8.79
2010-12-21,8.65,8.79,8.65,8.67,3426300,8.67
2010-12-20,8.73,8.73,8.41,8.68,2644800,8.68
2010-12-17,8.62,8.72,8.61,8.72,1407900,8.72
2010-12-16,8.68,8.69,8.56,8.56,2323800,8.56
2010-12-15,8.86,8.94,8.70,8.72,1665600,8.72
2010-12-14,8.81,8.90,8.80,8.89,3361800,8.89
2010-12-13,8.76,8.93,8.68,8.91,1124100,8.91
2010-12-10,8.55,8.55,8.46,8.50,1311600,8.50
2010-12-09,8.59,8.60,8.51,8.51,987000,8.51
2010-12-08,8.80,8.83,8.63,8.70,216000,8.70
2010-12-07,8.51,8.84,8.50,8.80,204900,8.80
2010-12-06,8.50,8.82,8.50,8.59,493500,8.59
2010-12-03,8.68,8.72,8.61,8.61,464700,8.61
2010-12-02,8.74,8.81,8.72,8.79,266100,8.79
2010-12-01,8.43,8.64,8.40,8.61,301200,8.61
2010-11-30,8.49,8.56,8.22,8.55,3225600,8.55
2010-11-29,8.41,8.53,8.35,8.53,1017300,8.53
2010-11-26,8.55,8.62,8.45,8.45,2778600,8.45
2010-11-25,8.47,8.66,8.44,8.62,4080600,8.62
2010-11-24,8.47,8.48,8.33,8.44,1932300,8.44
2010-11-23,8.50,8.52,8.29,8.29,1006200,8.29
2010-11-22,8.56,8.77,8.51,8.77,1470900,8.77
2010-11-19,8.62,8.65,8.42,8.62,536100,8.62
2010-11-18,8.48,8.60,8.35,8.58,663600,8.58
2010-11-17,8.48,8.60,8.27,8.29,798600,8.29
2010-11-16,8.97,9.08,8.53,8.58,2215800,8.58
2010-11-15,9.32,9.32,8.98,9.07,1836000,9.07
2010-11-12,9.88,9.90,9.25,9.33,1049700,9.33
2010-11-11,9.89,10.30,9.86,9.87,2696700,9.87
2010-11-10,9.84,10.00,9.80,9.96,2201400,9.96
2010-11-09,9.95,10.00,9.89,9.95,2765700,9.95
2010-11-08,9.86,9.92,9.58,9.91,1548600,9.91
2010-11-05,9.80,9.94,9.75,9.86,2598000,9.86
2010-11-04,9.32,9.55,9.19,9.55,1638900,9.55
2010-11-03,9.78,9.78,9.22,9.30,2796600,9.30
2010-11-02,9.61,10.04,9.61,9.67,1509600,9.67
2010-11-01,9.36,9.57,9.36,9.55,1760700,9.55
2010-10-29,9.08,9.08,9.00,9.07,427200,9.07
2010-10-28,9.08,9.17,9.00,9.04,2355900,9.04
2010-10-27,9.34,9.34,9.00,9.06,4395600,9.06
2010-10-26,9.45,9.45,9.30,9.34,3869400,9.34
2010-10-25,9.09,9.52,9.09,9.46,2828100,9.46
2010-10-22,9.01,9.08,8.94,8.96,2241900,8.96
2010-10-21,8.88,8.97,8.70,8.97,407400,8.97
2010-10-20,8.40,8.72,8.40,8.60,83400,8.60
2010-10-19,8.60,8.99,8.60,8.99,504000,8.99
2010-10-18,9.01,9.10,8.69,8.69,115200,8.69
2010-10-15,9.00,9.31,8.95,9.25,2110500,9.25
2010-10-14,8.87,9.15,8.83,9.12,6782800,9.12
2010-10-13,8.83,8.85,8.68,8.83,3449700,8.83
2010-10-12,8.57,8.80,8.53,8.71,2022000,8.71
2010-10-11,8.56,8.71,8.49,8.49,2022300,8.49
2010-10-08,8.12,8.27,8.12,8.23,2345800,8.23
2010-10-07,7.97,7.98,7.94,7.94,670200,7.94
2010-10-06,7.98,7.98,7.97,7.98,550200,7.98
2010-10-05,7.83,7.91,7.83,7.89,750900,7.89
2010-10-04,7.83,7.88,7.80,7.87,563100,7.87
2010-09-30,7.50,7.67,7.50,7.66,2992500,7.66
