Date,Open,High,Low,Close,Volume,Adj Close
2010-12-22,11.64,11.84,11.64,11.64,000,11.64
2010-12-21,11.80,11.96,11.80,11.80,000,11.80
2010-12-20,11.78,11.78,11.68,11.68,13000,11.68
2010-12-17,12.18,12.18,12.18,12.18,1500,12.18
2010-12-16,12.02,12.20,12.02,12.02,000,12.02
2010-12-15,11.92,12.20,11.92,11.92,000,11.92
2010-12-14,12.22,12.22,12.22,12.22,10000,12.22
2010-12-13,12.04,12.20,12.04,12.04,000,12.04
2010-12-10,11.82,11.82,11.82,11.82,500,11.82
2010-12-09,12.00,12.00,12.00,12.00,2500,12.00
2010-12-08,12.12,12.32,12.12,12.12,000,12.12
2010-12-07,12.20,12.40,12.20,12.20,000,12.20
2010-12-06,12.04,12.24,12.04,12.04,000,12.04
2010-12-03,12.22,12.22,12.22,12.22,500,12.22
2010-12-02,12.32,12.32,12.32,12.32,2000,12.32
2010-12-01,12.22,12.42,12.22,12.22,000,12.22
2010-11-30,12.30,12.30,12.30,12.30,3000,12.30
2010-11-29,12.60,12.60,12.60,12.60,500,12.60
2010-11-26,12.54,12.54,12.54,12.54,2000,12.54
2010-11-25,12.58,12.76,12.58,12.58,000,12.58
2010-11-24,12.10,12.10,12.10,12.10,59000,12.10
2010-11-23,12.10,12.10,12.10,12.10,500,12.10
2010-11-22,12.36,12.36,12.36,12.36,500,12.36
2010-11-19,12.16,12.16,12.16,12.16,3000,12.16
2010-11-18,11.82,12.16,11.82,12.16,14500,12.16
2010-11-17,12.20,12.20,12.00,12.00,2500,12.00
2010-11-16,12.50,12.56,12.26,12.56,154500,12.56
2010-11-15,12.52,12.78,12.46,12.60,28500,12.60
2010-11-12,13.00,13.00,12.42,12.42,42500,12.42
2010-11-11,13.10,13.10,13.00,13.00,16500,13.00
2010-11-10,12.80,12.90,12.80,12.80,000,12.80
2010-11-09,12.94,12.94,12.94,12.94,4000,12.94
2010-11-08,12.80,13.00,12.80,12.94,232500,12.94
2010-11-05,12.56,12.80,12.56,12.80,243000,12.80
2010-11-04,12.28,12.50,12.28,12.50,27500,12.50
2010-11-03,12.30,12.30,12.30,12.30,3000,12.30
2010-11-02,12.38,12.42,12.30,12.30,63000,12.30
2010-11-01,12.34,12.54,12.34,12.54,190000,12.54
2010-10-29,12.00,12.00,12.00,12.00,2500,12.00
2010-10-28,11.98,11.98,11.98,11.98,1500,11.98
2010-10-27,12.24,12.24,12.24,12.24,3000,12.24
2010-10-26,12.50,12.50,12.50,12.50,3000,12.50
2010-10-25,12.48,12.56,12.40,12.42,50500,12.42
2010-10-22,12.16,12.16,12.16,12.16,3000,12.16
2010-10-21,12.06,12.18,12.06,12.06,000,12.06
2010-10-20,12.12,12.20,12.12,12.20,64000,12.20
2010-10-19,11.92,12.00,11.92,11.92,000,11.92
2010-10-18,11.60,11.70,11.50,11.70,138000,11.70
2010-10-15,11.86,12.06,11.82,11.90,173000,11.90
2010-10-14,11.60,11.94,11.60,11.92,181500,11.92
2010-10-13,11.70,11.94,11.70,11.94,46500,11.94
2010-10-12,11.80,11.80,11.72,11.72,17000,11.72
2010-10-11,11.60,11.86,11.60,11.80,789500,11.80
2010-10-08,11.42,11.50,11.42,11.46,14500,11.46
2010-10-07,11.22,11.42,11.22,11.22,000,11.22
2010-10-06,11.44,11.46,11.44,11.46,7000,11.46
2010-10-05,11.20,11.36,11.20,11.20,000,11.20
2010-10-04,11.32,11.32,11.30,11.30,69000,11.30
2010-09-30,11.10,11.20,11.10,11.18,101000,11.18
2010-09-29,10.96,11.04,10.96,11.04,9000,11.04
2010-09-28,10.98,11.10,10.98,11.10,15500,11.10
2010-09-27,10.86,10.86,10.86,10.86,8500,10.86
2010-09-24,10.72,10.86,10.72,10.72,000,10.72
2010-09-22,10.90,10.90,10.90,10.90,10000,10.90
2010-09-21,10.70,10.70,10.68,10.68,2000,10.68
2010-09-20,10.60,10.60,10.58,10.58,12000,10.58
2010-09-17,10.60,10.60,10.60,10.60,500,10.60
2010-09-16,10.62,10.68,10.32,10.68,97500,10.68
2010-09-15,10.50,10.80,10.50,10.50,000,10.50
2010-09-14,10.84,10.84,10.84,10.84,15500,10.84
2010-09-13,10.94,10.94,10.80,10.80,60000,10.80
2010-09-10,10.48,10.64,10.46,10.64,22000,10.64
2010-09-09,10.78,10.78,10.78,10.78,2000,10.78
2010-09-08,10.68,10.76,10.68,10.68,000,10.68
2010-09-07,10.58,10.74,10.58,10.74,6000,10.74
2010-09-06,10.96,10.98,10.62,10.76,68500,10.76
2010-09-03,10.70,10.70,10.70,10.70,500,10.70
2010-09-02,10.64,10.82,10.62,10.66,12500,10.66
2010-09-01,10.68,10.68,10.50,10.50,10500,10.50
2010-08-31,10.78,10.78,10.54,10.54,19000,10.54
2010-08-30,10.52,10.72,10.52,10.60,14000,10.60
2010-08-27,10.34,10.34,10.34,10.34,1000,10.34
2010-08-26,10.22,10.52,10.22,10.22,000,10.22
2010-08-25,10.38,10.38,10.20,10.20,15500,10.20
2010-08-24,10.40,10.40,10.40,10.40,2000,10.40
2010-08-23,10.30,10.30,10.30,10.30,10000,10.30
2010-08-20,10.46,10.46,10.28,10.40,62000,10.40
2010-08-19,10.58,10.60,10.58,10.60,4500,10.60
2010-08-18,10.52,10.58,10.52,10.58,3500,10.58
2010-08-17,10.60,10.64,10.50,10.60,66500,10.60
2010-08-16,10.42,10.44,10.38,10.42,30000,10.42
2010-08-13,10.20,10.32,10.20,10.30,1008000,10.30
2010-08-12,10.28,10.32,10.20,10.20,26000,10.20
2010-08-11,10.20,10.30,10.20,10.20,000,10.20
2010-08-10,10.22,10.22,10.22,10.22,3000,10.22
2010-08-09,10.48,10.48,10.44,10.44,11000,10.44
2010-08-06,10.22,10.52,10.22,10.36,31000,10.36
2010-08-05,10.26,10.26,10.22,10.22,20000,10.22
2010-08-04,10.22,10.22,10.22,10.22,1000,10.22
2010-08-03,10.52,10.52,10.20,10.20,32500,10.20
2010-08-02,10.26,10.46,10.26,10.44,32000,10.44
2010-07-30,10.36,10.36,10.20,10.20,28000,10.20
2010-07-29,10.50,10.50,10.40,10.40,15000,10.40
2010-07-28,10.20,10.48,10.20,10.48,98000,10.48
2010-07-27,10.30,10.30,10.18,10.18,33000,10.18
2010-07-26,10.40,10.40,10.20,10.26,166000,10.26
2010-07-23,10.22,10.40,10.10,10.22,834500,10.22
2010-07-22,10.08,10.08,9.95,9.95,33000,9.95
2010-07-21,9.79,10.46,9.79,10.16,669000,10.16
2010-07-20,9.59,9.74,9.59,9.71,7000,9.71
2010-07-19,9.33,9.49,9.33,9.33,000,9.33
2010-07-16,9.39,9.39,9.39,9.39,4000,9.39
2010-07-15,9.36,9.55,9.36,9.42,209500,9.42
