Relation Name:  QueryResult-weka.filters.unsupervised.attribute.AddID-C1-Nt-weka.filters.unsupervised.attribute.AddExpression-Esin(a1/6)-Nexpression-weka.filters.unsupervised.attribute.AddExpression-Esin(a1/4)-Nexpression-weka.filters.unsupervised.attribute.AddExpression-Eexp(a1/20)-Nexpression-weka.filters.unsupervised.attribute.NumericToNominal-R14
Num Instances:  1254
Num Attributes: 17

     Name                      Type  Nom  Int Real     Missing      Unique  Dist
   1 ema8slope                  Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   2 ema13slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   3 ema18slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   4 sma22slope                 Num   0%   0% 100%     0 /  0%  1252 /100%  1253 
   5 rocp5                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   6 rocp6                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   7 devema8                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   8 devema16                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   9 devsma9                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  10 devsma22                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  11 devsma10                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  12 gap                        Num   0%   2%  98%     0 /  0%  1230 / 98%  1231 
  13 rsi13                      Num   0%   0% 100%     0 /  0%  1209 / 96%  1231 
  14 14bottom                   Nom 100%   0%   0%     0 /  0%     0 /  0%     3 
  15 sin(a1/6)                  Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  16 sin(a1/4)                  Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  17 exp(a1/20)                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 

K, WindowSize, Precision, Recall, F1
3, 232, 0.522, 0.412, 0.461
3, 234, 0.523, 0.409, 0.459
3, 236, 0.523, 0.409, 0.459
3, 238, 0.523, 0.411, 0.460
3, 240, 0.523, 0.413, 0.462
3, 242, 0.519, 0.415, 0.462
3, 244, 0.523, 0.418, 0.464
3, 246, 0.523, 0.422, 0.467
3, 248, 0.519, 0.419, 0.464
3, 250, 0.529, 0.424, 0.471
3, 252, 0.529, 0.424, 0.471
3, 254, 0.529, 0.424, 0.471
3, 256, 0.529, 0.424, 0.471
3, 258, 0.529, 0.426, 0.472
3, 260, 0.532, 0.434, 0.478
3, 262, 0.532, 0.439, 0.481
3, 264, 0.539, 0.439, 0.484
3, 266, 0.539, 0.439, 0.484
3, 268, 0.539, 0.439, 0.484
3, 270, 0.550, 0.444, 0.491
3, 272, 0.550, 0.446, 0.493
3, 274, 0.550, 0.446, 0.493
3, 276, 0.550, 0.446, 0.493
3, 278, 0.550, 0.446, 0.493
3, 280, 0.550, 0.446, 0.493
3, 282, 0.553, 0.446, 0.494
3, 284, 0.553, 0.446, 0.494
3, 286, 0.553, 0.446, 0.494
3, 288, 0.553, 0.446, 0.494
3, 290, 0.556, 0.452, 0.499
3, 292, 0.556, 0.452, 0.499
3, 294, 0.556, 0.454, 0.500
3, 296, 0.556, 0.457, 0.501
3, 298, 0.556, 0.457, 0.501
3, 300, 0.559, 0.462, 0.506
3, 302, 0.559, 0.464, 0.507
3, 304, 0.562, 0.475, 0.515
3, 306, 0.556, 0.469, 0.509
3, 308, 0.564, 0.469, 0.512
3, 310, 0.560, 0.469, 0.511
3, 312, 0.554, 0.463, 0.505
3, 314, 0.548, 0.457, 0.498
3, 316, 0.542, 0.451, 0.492
3, 318, 0.549, 0.451, 0.495
3, 320, 0.549, 0.451, 0.495
3, 322, 0.549, 0.451, 0.495
3, 324, 0.546, 0.448, 0.492
3, 326, 0.546, 0.448, 0.492
3, 328, 0.546, 0.448, 0.492
3, 330, 0.546, 0.448, 0.492
3, 332, 0.550, 0.453, 0.497
3, 334, 0.547, 0.450, 0.494
3, 336, 0.547, 0.450, 0.494
3, 338, 0.547, 0.450, 0.494
3, 340, 0.547, 0.450, 0.494
3, 342, 0.547, 0.450, 0.494
3, 344, 0.547, 0.450, 0.494
3, 346, 0.547, 0.450, 0.494
3, 348, 0.547, 0.450, 0.494
3, 350, 0.547, 0.450, 0.494
3, 352, 0.550, 0.456, 0.498
3, 354, 0.550, 0.461, 0.502
3, 356, 0.554, 0.464, 0.505
3, 358, 0.561, 0.470, 0.511
3, 360, 0.561, 0.473, 0.513
3, 362, 0.558, 0.472, 0.512
3, 364, 0.551, 0.466, 0.505
3, 366, 0.545, 0.459, 0.498
3, 368, 0.538, 0.452, 0.491
3, 370, 0.546, 0.452, 0.495
3, 372, 0.550, 0.452, 0.497
3, 374, 0.550, 0.458, 0.500
3, 376, 0.548, 0.451, 0.495
3, 378, 0.540, 0.444, 0.487
3, 380, 0.541, 0.440, 0.485
3, 382, 0.542, 0.436, 0.483
3, 384, 0.542, 0.436, 0.483
3, 386, 0.542, 0.436, 0.483
3, 388, 0.542, 0.436, 0.483
3, 390, 0.542, 0.436, 0.483
3, 392, 0.542, 0.436, 0.483
3, 394, 0.542, 0.436, 0.483
3, 396, 0.542, 0.436, 0.483
3, 398, 0.542, 0.436, 0.483
3, 400, 0.542, 0.436, 0.483
3, 402, 0.542, 0.436, 0.483
3, 404, 0.542, 0.436, 0.483
3, 406, 0.542, 0.436, 0.483
3, 408, 0.542, 0.436, 0.483
3, 410, 0.542, 0.442, 0.487
3, 412, 0.542, 0.448, 0.491
3, 414, 0.551, 0.448, 0.494
3, 416, 0.551, 0.448, 0.494
3, 418, 0.551, 0.455, 0.498
3, 420, 0.560, 0.455, 0.502
3, 422, 0.560, 0.455, 0.502
3, 424, 0.560, 0.455, 0.502
3, 426, 0.560, 0.458, 0.504
3, 428, 0.557, 0.457, 0.502
3, 430, 0.558, 0.453, 0.500
3, 432, 0.550, 0.445, 0.492
3, 434, 0.541, 0.437, 0.484
3, 436, 0.542, 0.433, 0.481
3, 438, 0.543, 0.429, 0.479
3, 440, 0.548, 0.429, 0.481
3, 442, 0.543, 0.429, 0.479
3, 444, 0.543, 0.432, 0.481
3, 446, 0.543, 0.435, 0.483
3, 448, 0.548, 0.438, 0.487
3, 450, 0.553, 0.438, 0.489
3, 452, 0.553, 0.438, 0.489
3, 454, 0.553, 0.438, 0.489
3, 456, 0.553, 0.442, 0.491
3, 458, 0.553, 0.442, 0.491
3, 460, 0.553, 0.442, 0.491
3, 462, 0.553, 0.442, 0.491
3, 464, 0.553, 0.442, 0.491
3, 466, 0.553, 0.442, 0.491
3, 468, 0.553, 0.442, 0.491
3, 470, 0.549, 0.434, 0.485
3, 472, 0.545, 0.426, 0.478
3, 474, 0.545, 0.426, 0.478
3, 476, 0.545, 0.426, 0.478
3, 478, 0.545, 0.430, 0.480
3, 480, 0.545, 0.433, 0.482
3, 482, 0.545, 0.433, 0.482
3, 484, 0.545, 0.433, 0.482
3, 486, 0.545, 0.433, 0.482
3, 488, 0.545, 0.433, 0.482
3, 490, 0.545, 0.433, 0.482
3, 492, 0.545, 0.433, 0.482
3, 494, 0.545, 0.433, 0.482
3, 496, 0.545, 0.437, 0.485
3, 498, 0.545, 0.437, 0.485
3, 500, 0.545, 0.437, 0.485
3, 502, 0.545, 0.437, 0.485
3, 504, 0.545, 0.437, 0.485
3, 506, 0.545, 0.437, 0.485
3, 508, 0.545, 0.437, 0.485
3, 510, 0.545, 0.437, 0.485
3, 512, 0.545, 0.437, 0.485
3, 514, 0.545, 0.437, 0.485
3, 516, 0.545, 0.437, 0.485
3, 518, 0.545, 0.440, 0.487
3, 520, 0.545, 0.440, 0.487
3, 522, 0.545, 0.440, 0.487
3, 524, 0.545, 0.440, 0.487
3, 526, 0.545, 0.440, 0.487
3, 528, 0.545, 0.440, 0.487
3, 530, 0.545, 0.444, 0.489
3, 532, 0.550, 0.447, 0.493
3, 534, 0.550, 0.447, 0.493
3, 536, 0.550, 0.447, 0.493
3, 538, 0.550, 0.447, 0.493
3, 540, 0.550, 0.447, 0.493
