Relation Name:  QueryResult-weka.filters.unsupervised.attribute.AddID-C1-Nt-weka.filters.unsupervised.attribute.AddExpression-Eexp(a1/20)-Nexpression-weka.filters.unsupervised.attribute.NumericToNominal-R13
Num Instances:  1254
Num Attributes: 14

     Name                      Type  Nom  Int Real     Missing      Unique  Dist
   1 ema8slope                  Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   2 ema13slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   3 ema18slope                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   4 sma22slope                 Num   0%   0% 100%     0 /  0%  1252 /100%  1253 
   5 rocp5                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   6 rocp6                      Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   7 devema8                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   8 devema16                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
   9 devsma9                    Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  10 devsma22                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  11 devsma10                   Num   0%   0% 100%     0 /  0%  1254 /100%  1254 
  12 gap                        Num   0%   2%  98%     0 /  0%  1230 / 98%  1231 
  13 5bottom                    Nom 100%   0%   0%     0 /  0%     0 /  0%     3 
  14 exp(a1/20)                 Num   0%   0% 100%     0 /  0%  1254 /100%  1254 

K, WindowSize, Precision, Recall, F1
3, 252, 0.696, 0.630, 0.661
3, 254, 0.698, 0.628, 0.661
3, 256, 0.698, 0.629, 0.662
3, 258, 0.697, 0.628, 0.660
3, 260, 0.696, 0.628, 0.660
3, 262, 0.695, 0.629, 0.660
3, 264, 0.697, 0.630, 0.662
3, 266, 0.697, 0.630, 0.662
3, 268, 0.697, 0.630, 0.662
3, 270, 0.697, 0.628, 0.661
3, 272, 0.699, 0.630, 0.663
3, 274, 0.701, 0.631, 0.664
3, 276, 0.701, 0.628, 0.663
3, 278, 0.701, 0.628, 0.663
3, 280, 0.701, 0.628, 0.663
3, 282, 0.699, 0.624, 0.659
3, 284, 0.701, 0.626, 0.661
3, 286, 0.701, 0.626, 0.661
3, 288, 0.701, 0.626, 0.661
3, 290, 0.705, 0.628, 0.664
3, 292, 0.705, 0.628, 0.664
3, 294, 0.706, 0.632, 0.667
3, 296, 0.706, 0.633, 0.667
3, 298, 0.708, 0.633, 0.668
3, 300, 0.708, 0.633, 0.668
3, 302, 0.708, 0.636, 0.670
3, 304, 0.707, 0.637, 0.670
3, 306, 0.711, 0.638, 0.672
3, 308, 0.711, 0.642, 0.675
3, 310, 0.712, 0.646, 0.677
3, 312, 0.711, 0.644, 0.676
3, 314, 0.709, 0.643, 0.674
3, 316, 0.707, 0.641, 0.673
3, 318, 0.704, 0.639, 0.670
3, 320, 0.705, 0.638, 0.670
3, 322, 0.707, 0.638, 0.671
3, 324, 0.706, 0.637, 0.670
3, 326, 0.710, 0.637, 0.672
3, 328, 0.708, 0.637, 0.671
3, 330, 0.708, 0.639, 0.672
3, 332, 0.707, 0.640, 0.672
3, 334, 0.707, 0.640, 0.672
3, 336, 0.707, 0.640, 0.672
3, 338, 0.708, 0.642, 0.674
3, 340, 0.707, 0.640, 0.672
3, 342, 0.710, 0.643, 0.674
3, 344, 0.710, 0.645, 0.676
3, 346, 0.710, 0.645, 0.676
3, 348, 0.710, 0.645, 0.676
3, 350, 0.712, 0.647, 0.678
3, 352, 0.712, 0.648, 0.678
3, 354, 0.713, 0.647, 0.678
3, 356, 0.713, 0.647, 0.678
3, 358, 0.711, 0.647, 0.677
3, 360, 0.710, 0.646, 0.676
3, 362, 0.709, 0.646, 0.676
3, 364, 0.708, 0.645, 0.675
3, 366, 0.707, 0.645, 0.675
3, 368, 0.710, 0.645, 0.676
3, 370, 0.712, 0.645, 0.677
3, 372, 0.710, 0.643, 0.675
3, 374, 0.707, 0.641, 0.672
3, 376, 0.705, 0.639, 0.670
3, 378, 0.703, 0.637, 0.668
3, 380, 0.701, 0.635, 0.667
3, 382, 0.701, 0.636, 0.667
3, 384, 0.699, 0.634, 0.665
3, 386, 0.697, 0.632, 0.663
3, 388, 0.695, 0.630, 0.661
3, 390, 0.699, 0.630, 0.663
3, 392, 0.701, 0.630, 0.664
3, 394, 0.706, 0.630, 0.666
3, 396, 0.710, 0.630, 0.668
3, 398, 0.712, 0.635, 0.671
3, 400, 0.710, 0.635, 0.670
3, 402, 0.710, 0.635, 0.670
3, 404, 0.712, 0.635, 0.671
3, 406, 0.712, 0.635, 0.671
3, 408, 0.711, 0.636, 0.671
3, 410, 0.710, 0.637, 0.671
3, 412, 0.710, 0.640, 0.673
3, 414, 0.708, 0.638, 0.671
3, 416, 0.706, 0.636, 0.670
3, 418, 0.705, 0.634, 0.668
3, 420, 0.709, 0.634, 0.670
3, 422, 0.709, 0.636, 0.671
3, 424, 0.708, 0.637, 0.671
3, 426, 0.706, 0.635, 0.669
3, 428, 0.707, 0.633, 0.668
3, 430, 0.703, 0.631, 0.665
3, 432, 0.701, 0.629, 0.663
3, 434, 0.700, 0.624, 0.660
3, 436, 0.700, 0.621, 0.658
3, 438, 0.702, 0.620, 0.658
3, 440, 0.700, 0.618, 0.656
3, 442, 0.701, 0.617, 0.656
3, 444, 0.699, 0.615, 0.654
3, 446, 0.697, 0.612, 0.652
3, 448, 0.699, 0.614, 0.654
3, 450, 0.701, 0.613, 0.654
3, 452, 0.705, 0.613, 0.656
3, 454, 0.708, 0.615, 0.658
3, 456, 0.707, 0.616, 0.658
3, 458, 0.705, 0.613, 0.656
3, 460, 0.707, 0.613, 0.657
3, 462, 0.707, 0.613, 0.657
3, 464, 0.710, 0.613, 0.658
3, 466, 0.710, 0.613, 0.658
3, 468, 0.710, 0.613, 0.658
3, 470, 0.710, 0.613, 0.658
3, 472, 0.710, 0.613, 0.658
3, 474, 0.710, 0.613, 0.658
3, 476, 0.710, 0.613, 0.658
3, 478, 0.710, 0.617, 0.660
3, 480, 0.710, 0.621, 0.662
3, 482, 0.709, 0.622, 0.662
3, 484, 0.707, 0.619, 0.660
3, 486, 0.712, 0.619, 0.662
3, 488, 0.712, 0.619, 0.662
3, 490, 0.712, 0.619, 0.662
3, 492, 0.712, 0.619, 0.662
3, 494, 0.712, 0.619, 0.662
3, 496, 0.711, 0.620, 0.662
3, 498, 0.711, 0.624, 0.664
3, 500, 0.713, 0.624, 0.666
3, 502, 0.713, 0.624, 0.666
3, 504, 0.713, 0.624, 0.666
3, 506, 0.711, 0.626, 0.666
3, 508, 0.711, 0.626, 0.666
3, 510, 0.712, 0.629, 0.668
3, 512, 0.709, 0.629, 0.667
3, 514, 0.712, 0.629, 0.668
3, 516, 0.712, 0.629, 0.668
3, 518, 0.714, 0.631, 0.670
3, 520, 0.714, 0.631, 0.670
3, 522, 0.714, 0.633, 0.671
3, 524, 0.717, 0.635, 0.673
3, 526, 0.717, 0.635, 0.673
3, 528, 0.717, 0.635, 0.673
3, 530, 0.717, 0.637, 0.675
3, 532, 0.717, 0.641, 0.677
3, 534, 0.717, 0.641, 0.677
3, 536, 0.717, 0.643, 0.678
3, 538, 0.716, 0.644, 0.678
3, 540, 0.717, 0.643, 0.678
