Date,DayofWeek,O,H,L,Adj_C,Vol,HKHalfday,HKTurnover,HKVol,HKDeal
2001-12-24,1,11189.52,11249.9,11182.45,11209.78,79446000,1,2100441923,1785889237,23229
2001-12-27,4,11250.05,11415.04,11208.47,11359.5,129996400,0,2906478642,2354209010,36314
2001-12-28,5,11359.5,11432.29,11309.02,11431.59,148860200,0,3100546029,3154378039,39359
2001-12-31,1,11431.59,11451.79,11347.79,11397.21,64712600,1,1751713971,2034012558,23858
2002-01-02,3,11368.13,11368.13,11241.63,11350.85,106074600,0,2734313364,5155041781,50551
2002-01-03,4,11348.8,11447,11348.8,11423.52,274626200,0,4795469714,5682981066,74393
2002-01-04,5,11547.01,11727.81,11547.01,11702.15,362553600,0,7446540706,5348497613,92492
2002-01-07,1,11687.43,11905.55,11687.43,11892.64,442387000,0,9339318801,6421202437,110328
2002-01-08,2,11781.19,11806.25,11678.06,11713.71,279504600,0,7168395692,5248852877,88940
2002-01-09,3,11711.77,11783.7,11369.63,11440.72,428711600,0,10395376260,5963087144,107079
2002-01-10,4,11361.09,11361.09,11168.89,11256.07,354783400,0,9176988367,6812664683,101186
2002-01-11,5,11278.86,11351.75,11085.47,11166.46,316216600,0,8282148986,8184369523,103958
2002-01-14,1,11081.38,11213.86,11029.22,11209.43,210140000,0,5846945546,5249621055,70787
2002-01-15,2,11071.49,11071.49,10965.24,11013.59,230468200,0,6700271206,5665528891,80403
2002-01-16,3,11035.49,11080.55,10910.75,10964.09,194573800,0,6084071477,5167337478,76707
2002-01-17,4,10888.11,11020.21,10808,11013.84,221629000,0,6598666592,5340802762,78482
2002-01-18,5,11023.79,11065.53,10934.01,10972.96,373829400,0,5991709995,4887970060,78446
2002-01-21,1,10967.09,11083.17,10941.47,11000.25,213151400,0,4834354153,3292300073,54951
2002-01-22,2,10991.4,10997.9,10778.78,10797.69,251469600,0,5336890034,4145015007,67119
2002-01-23,3,10750.98,10793.07,10689.06,10762.14,225157600,0,5131051619,3565677690,58770
2002-01-24,4,10796.81,10847.53,10690.63,10741.46,199480800,0,5711651024,5244727912,71675
2002-01-25,5,10789,10842.47,10718.27,10772.96,290674000,0,8589677405,5776506229,100485
2002-01-28,1,10749.08,10891.59,10748.1,10767.46,257612600,0,7429079174,5329094078,87206
2002-01-29,2,10774.61,11041.82,10744.14,11014.24,378839800,0,8473953231,5533100225,93366
2002-01-30,3,10895.7,10895.7,10699.94,10756.96,295195000,0,7774645962,5911076682,89499
2002-01-31,4,10797.99,10953.57,10671.77,10725.3,267648000,0,8050747878,6715652094,94469
2002-02-01,5,10764.03,10827.39,10673.66,10691.25,192217000,0,6352509327,5578673951,74463
2002-02-04,1,10680.32,10806.68,10661.13,10721.32,267871800,0,5517090533,4129250967,61096
2002-02-05,2,10627.85,10636.23,10541.28,10609.19,292116000,0,6088344830,4300461767,65653
2002-02-06,3,10590.26,10633.12,10542.29,10592.39,238613600,0,5965785292,3779642975,62774
2002-02-07,4,10556.29,10601.3,10393.83,10409.68,419402800,0,8070652087,4468579726,78649
2002-02-08,5,10441.19,10526.75,10421.48,10518.99,259185400,0,6285498232,3967861076,66500
2002-02-11,1,10596.06,10843.26,10596.06,10832.74,184738200,1,4500929283,2607051158,48095
2002-02-15,5,11005.85,11108.48,10914.71,10961.88,292406600,0,7568887633,3733057355,78535
2002-02-18,1,10905.49,11007,10867.82,11002.81,181042600,0,6275430497,5509103402,84277
2002-02-19,2,10997.9,10997.9,10794.2,10840.49,167326000,0,5888230823,5191174360,76148
2002-02-20,3,10777.39,10777.39,10685.38,10749.06,193530200,0,5700715989,5193816368,76294
2002-02-21,4,10807.93,10871.1,10732.63,10788.9,186403600,0,6346847477,6174416504,84436
2002-02-22,5,10730.21,10730.21,10579.81,10664.94,155752200,0,5737054863,5332907355,71283
2002-02-25,1,10679,10683.64,10468.95,10496.02,191984600,0,6724573688,6130433115,78793
2002-02-26,2,10581.79,10667.57,10536.74,10547.13,207615800,0,7302914256,5622580840,79061
2002-02-27,3,10541.19,10757.11,10524.77,10648.71,268262400,0,7840889900,5417778570,85659
2002-02-28,4,10660.76,10677.16,10415.65,10482.55,258703600,0,8022800927,5133518209,79840
2002-03-01,5,10453.88,10473.02,10387.49,10425.31,186683400,0,5972172843,4066639411,72438
2002-03-04,1,10593.77,10720.12,10561.38,10704.12,279649600,0,7926456810,5099686130,83382
2002-03-05,2,10883.29,11004.04,10883.29,10985.84,350222000,0,10879197966,6894527381,113126
2002-03-06,3,10954.75,11040.75,10933.43,11003,270688800,0,7396416354,7324484965,90983
2002-03-07,4,11102.36,11246.31,11102.36,11188.07,483088000,0,9781928669,7344246566,112850
2002-03-08,5,11201.28,11331.12,11201.28,11233.23,360931800,0,8885952442,7925486458,96634
2002-03-11,1,11234.53,11334.31,11178.68,11318.87,264341400,0,7436003597,7457869955,93018
2002-03-12,2,11304.91,11381.85,11242.23,11273.86,275706800,0,8598998804,8126672420,117983
2002-03-13,3,11214.85,11306.89,11185.51,11217.5,239681400,0,7589860446,7527577697,94403
2002-03-14,4,11202.86,11333.52,11163.11,11303.7,273105400,0,6930274052,5384715638,85167
2002-03-15,5,11280.99,11363.71,11150.5,11210.25,230450200,0,6881306939,6748981611,93080
2002-03-18,1,11224.32,11317.75,11168.32,11230.64,240821200,0,5344998629,5481105566,72126
2002-03-19,2,11242.25,11302.39,11195.07,11222.83,305416000,0,5785333544,5115647501,69949
2002-03-20,3,11136.3,11176.59,10996.36,11036.6,254339600,0,6134858836,5974975581,71742
2002-03-21,4,10950.78,10950.78,10810.9,10829.73,345847200,0,7336436681,6375957233,89402
2002-03-22,5,10839.87,10919.46,10811.88,10863.07,211526200,0,5958152022,5028332438,73730
2002-03-25,1,10855.23,10867.02,10785.62,10836.64,201915500,0,5062736054,4829741010,61323
2002-03-26,2,10781.16,10792.83,10715.05,10786.92,180532500,0,5398523484,4860109965,61972
2002-03-27,3,10819.85,11022.83,10819.85,10987.88,250625200,0,7057937625,5899108681,81197
2002-03-28,4,11025.03,11075.4,10972.11,11032.92,214855400,0,6226815784,5188191951,68592
2002-04-02,2,11032.36,11055.98,10816.73,10878.04,274314600,0,6623188762,4546277043,66572
2002-04-03,3,10831.23,10853.88,10783,10833.96,144433800,0,5086702762,5102370890,64552
2002-04-04,4,10766.56,10838.22,10747.99,10831.37,170815600,0,5595334753,5512892698,77975
2002-04-08,1,10833.16,10856.64,10702.44,10723.68,227928200,0,7135560347,5745487203,88670
2002-04-09,2,10711.08,10791.09,10688.69,10733.69,144606800,0,4944416590,5528346938,67118
2002-04-10,3,10692.95,10692.95,10610.76,10643.14,201435000,0,6013201185,7375363124,76616
2002-04-11,4,10748.45,10829.04,10720.66,10744.91,167096400,0,5711823063,5753345122,75131
2002-04-12,5,10653.82,10717.55,10630.41,10710.48,159124400,0,5746233807,5762456348,74526
2002-04-15,1,10720.41,10764.48,10697.47,10727.98,139528400,0,5370623989,5598815607,74041
2002-04-16,2,10745.2,10797.14,10690.47,10788.53,166385800,0,5471190406,6550076807,71100
2002-04-17,3,10938.69,11090.58,10929.07,11090.58,352621200,0,9406746480,7882330113,107995
2002-04-18,4,11102.68,11222.39,11070.8,11217.15,347360400,0,9683692158,7495100279,105651
2002-04-19,5,11166.5,11285.05,11135.04,11252.18,322091600,0,9895348484,7742288795,112345
2002-04-22,1,11259.04,11301.67,11134.17,11139.42,271805600,0,8243039312,8530488418,94398
2002-04-23,2,11102.23,11355.11,11102.23,11345.18,360996000,0,8896672587,14417485978,103705
2002-04-24,3,11362.65,11417.47,11305.65,11396.57,301563200,0,9314230797,11245080599,110697
2002-04-25,4,11394.04,11439.59,11351.79,11409.29,297909600,0,9107423282,10094647167,98027
2002-04-26,5,11449.4,11461.59,11348.81,11385.08,269871600,0,7949874386,8130096919,94628
2002-04-29,1,11329.91,11371.12,11260.88,11361.49,204981200,0,7525202286,8476959117,89105
2002-04-30,2,11337.89,11497.58,11317.66,11497.58,229571000,0,7884727125,10433209077,103263
2002-05-02,4,11577.57,11800.83,11577.57,11780.11,433590600,0,12982412172,11862756514,148427
2002-05-03,5,11855.9,11863.62,11729.85,11797.22,450357400,0,12975420862,13712807663,140892
2002-05-06,1,11771.08,11845.1,11671.38,11736.2,247907400,0,9360746683,13570667479,119549
2002-05-07,2,11639.51,11813.9,11591.26,11795.98,272450800,0,9804545940,14483374690,133963
2002-05-08,3,11873.25,11890.72,11699.33,11768.31,278468000,0,11833748411,13597067175,129234
2002-05-09,4,11957.16,11962.1,11677.55,11700.76,336805000,0,11099987482,12296956873,129431
2002-05-10,5,11720.46,11752.96,11630.04,11645.9,201908000,0,8676829538,13770524753,104166
2002-05-13,1,11653.55,11772.93,11650.62,11733.43,199682000,0,8090413784,13161070210,99266
2002-05-14,2,11824.93,11824.93,11662.01,11690.31,163930400,0,8225329216,19092260033,108016
2002-05-15,3,11791.53,11902.71,11738.08,11838.36,258940000,0,9610148619,14329554361,121746
2002-05-16,4,11838.53,11839.57,11762.25,11832.77,184901800,0,8120671300,15758484984,105924
2002-05-17,5,11924.62,12021.72,11867.39,11974.61,321247200,0,10399579483,11790086682,127948
2002-05-21,2,11959.65,12006.92,11687.27,11753.29,307963400,0,11663480288,12083187648,132863
2002-05-22,3,11745.76,11797.85,11698.12,11795.2,166910400,0,7785904739,10379980494,106872
2002-05-23,4,11754.46,11761.68,11586.52,11624.75,313297800,0,9492130078,10226409232,114127
2002-05-24,5,11636.86,11672.99,11595.59,11626.78,218765400,0,7536674926,9096473541,103347
2002-05-27,1,11608.38,11612.53,11526.59,11564.73,188013200,0,6246821889,10492829904,89528
2002-05-28,2,11568.74,11610.97,11544.1,11581.58,135399600,0,5827295860,11190895690,90659
2002-05-29,3,11480.95,11581.67,11404.3,11430.66,248888600,0,8728566682,10557280221,107710
2002-05-30,4,11413.85,11413.85,11268.54,11380.61,228221200,0,9728396946,9639813599,111394
2002-05-31,5,11385.19,11429.06,11260.2,11301.94,302321400,0,10281616724,8308679540,94960
2002-06-03,1,11339.2,11397.37,11282.76,11359.8,176358600,0,6259017234,6810134843,73852
2002-06-04,2,11279.05,11317.56,11204.86,11312.55,149651000,0,5154753401,6557909214,66939
2002-06-05,3,11328.52,11407.59,11297.96,11402.38,141821800,0,5567212256,7543039795,71547
2002-06-06,4,11438.61,11475.19,11345.61,11380.77,167714400,0,6382655135,7140364725,79532
2002-06-07,5,11274.59,11325.54,11236.19,11284.71,191775800,0,7323846228,9275821524,83804
2002-06-10,1,11270.1,11326.43,11228.99,11288.84,148036000,0,5702393513,7195869040,67679
2002-06-11,2,11304.73,11306.43,11176,11215.02,179688800,0,5485817213,6162379727,68840
2002-06-12,3,11167.18,11167.18,11117.3,11147.97,183371000,0,5802299269,7382380823,71015
2002-06-13,4,11173.77,11191.49,11105.4,11119.33,161168400,0,5712445023,6179063162,70346
2002-06-14,5,11024.59,11066.75,10940.23,10955.52,196360200,0,7243054418,7701843359,86267
2002-06-17,1,10871.51,10900.48,10811.62,10832.26,192975200,0,6395612855,7673680086,80258
2002-06-18,2,10963.37,10983.72,10838.86,10852.04,216380600,0,6992215905,8403020121,87811
2002-06-19,3,10843.01,10865.04,10612.03,10673.11,310921400,0,9222791145,9603180372,111744
2002-06-20,4,10668.77,10768.03,10583.28,10754.41,225421000,0,6925590837,8965236796,92824
2002-06-21,5,10608.94,10639.46,10574.03,10591.86,212587200,0,6362267229,6463291348,76207
2002-06-24,1,10544.45,10674.52,10509.23,10657.34,190405200,0,6229162656,6733500999,78126
2002-06-25,2,10633.56,10687.04,10553.54,10608.98,195118400,0,6114591614,6481659267,73684
2002-06-26,3,10493.13,10493.13,10291.16,10355.92,371785600,0,10214681470,8026952004,110290
2002-06-27,4,10472.85,10531.51,10411.15,10518.09,269425200,0,6603046501,6655938548,77485
2002-06-28,5,10615.14,10699.32,10584.03,10598.55,221668200,0,6543270252,7040116045,82466
2002-07-02,2,10511.12,10511.12,10436.46,10491.76,188748000,0,6007978025,5414699998,64317
2002-07-03,3,10407.58,10627.07,10407.58,10579.19,198686800,0,7303130681,8352323946,85581
2002-07-04,4,10578.2,10769.53,10566.55,10765.58,222350200,0,8177766162,9281257749,98496
2002-07-05,5,10810.39,10845.88,10754.28,10806.16,160907200,0,6781306262,7601507272,80225
2002-07-08,1,10923.5,10939.56,10766.98,10803.45,153657600,0,6103205673,8197300993,79531
2002-07-09,2,10831.12,10860.64,10786.37,10843.15,124203000,0,4984827016,6650525951,63315
2002-07-10,3,10774.35,10829.54,10747.92,10787.54,156649400,0,4960368671,14171223017,67007
2002-07-11,4,10637.6,10655.23,10482.73,10558.81,268957600,0,7624280235,8175871080,94221
2002-07-12,5,10582.57,10655.28,10529.92,10648.3,207994200,0,5503106263,7061997312,75453
2002-07-15,1,10556.5,10597.35,10499.1,10581.66,126480400,0,4544214880,6292717348,59196
2002-07-16,2,10516.64,10573.07,10399.67,10421.49,182111800,0,6443764246,7070848550,81689
2002-07-17,3,10336.78,10362.46,10213.02,10335.12,258112800,0,7479475461,6953509948,92104
2002-07-18,4,10414.58,10461.33,10350.25,10452.55,169213000,0,5619866484,6077512688,73926
2002-07-19,5,10370.82,10377.4,10280.46,10325.46,186130800,0,5221964571,6615663073,71321
2002-07-22,1,10166.26,10182.2,10080.12,10110.25,225025400,0,6506711346,6609898362,82293
2002-07-23,2,9980.29,10322.49,9977.77,10313.89,256211600,0,7789961944,6986484546,90727
2002-07-24,3,10133.65,10133.65,9912.96,9971.99,268197600,0,9150403281,6352330917,105208
2002-07-25,4,10143.02,10165.83,9872.29,9884.78,251086200,0,10631187246,6872488633,112804
2002-07-26,5,9801.59,9894.64,9687.5,9773.12,262142200,0,8083078502,13106254778,127753
2002-07-29,1,9873.44,9983.04,9829.55,9975.99,170356400,0,5263602044,8571536694,83522
2002-07-30,2,10240.42,10285.48,10151.61,10155.25,264124400,0,7840318845,7713281737,104196
2002-07-31,3,10169.28,10290.07,10123.2,10267.36,161412800,0,5827889896,5984188768,70087
2002-08-01,4,10244.53,10329.05,10175.08,10180.02,173664400,0,5951181442,6453994144,71426
2002-08-02,5,10026.65,10058.48,9968.92,9991.72,180663400,0,6054559492,5770777299,72632
2002-08-05,1,9913.08,9976.69,9823.95,9862.33,187999200,0,5707609392,5399923712,70082
2002-08-06,2,9780.18,9782.89,9632.98,9700.69,228461400,0,6155032195,5152343406,80548
2002-08-07,3,9883.68,10007.95,9851.28,9977.74,177157600,0,5510516370,5935460717,73211
2002-08-08,4,9960.68,9997.18,9895.28,9962.24,159974200,0,4368590325,4372023864,55701
2002-08-09,5,10128.71,10149.9,10007.43,10014.06,173137800,0,5807424114,4806142880,73239
2002-08-12,1,10039.77,10039.77,9929.38,9959.92,135721200,0,4398225486,3646637495,53853
2002-08-13,2,9962.58,10132.4,9958.06,10100.06,150937200,0,4956790583,4264604792,60710
2002-08-14,3,10064.63,10064.63,9883.09,9961.35,195549600,0,5253849925,4763757030,61901
2002-08-15,4,10123.07,10264.66,10123.07,10219.71,257063800,0,7174783817,5818691053,87524
2002-08-16,5,10240.6,10299.72,10205.52,10265.04,211214000,0,5123435099,4599318538,67620
2002-08-19,1,10250.4,10279.25,10166.54,10246.96,126512200,0,4450399198,5394203540,62844
2002-08-20,2,10390.31,10431.77,10373.51,10408.01,187414000,0,6424245568,6834742149,82264
2002-08-21,3,10317.72,10409.31,10293.71,10402.26,190580600,0,5878178969,5776280237,70754
2002-08-22,4,10452.5,10456.61,10367,10424,155805400,0,5161719907,6045910128,74623
2002-08-23,5,10472.7,10478.65,10241.18,10245.69,167808000,0,5753985709,6071620220,75698
2002-08-26,1,10232.88,10263.83,10192.01,10226.33,106866600,0,3337035360,3956061019,45730
2002-08-27,2,10233.72,10266.76,10125.2,10185.52,105858200,0,4088770841,5343813204,56484
2002-08-28,3,10130.38,10158.69,10070.28,10130.25,174737600,0,5009456460,4828666791,57424
2002-08-29,4,10034.18,10075.27,9988.86,10061.15,183778600,0,5242409425,4747054328,58034
2002-08-30,5,10034.22,10089.69,10004.87,10043.87,164391600,0,4350410425,4860237364,53438
2002-09-02,1,10039.67,10044.57,9861.87,9896.98,172456200,0,4157483237,5975277448,54862
2002-09-03,2,9862.39,9873.11,9748.18,9790.68,203358000,0,4590731234,5319771375,61026
2002-09-04,3,9643.19,9830.45,9629.22,9820.33,247492000,0,5902786222,5532145906,74358
2002-09-05,4,9823.74,9833.68,9710.29,9726.03,191412400,0,5126394278,5389853598,66032
2002-09-06,5,9650.94,9750.9,9631.73,9720.86,219272400,0,5805610940,5016847700,70147
2002-09-09,1,9781.54,9783.44,9672.19,9723.67,165390800,0,3761545821,4543045890,49076
2002-09-10,2,9762.84,9906.85,9761.1,9885.77,181770400,0,5104506814,4882868931,58167
2002-09-11,3,9927.73,9946.01,9845,9882.35,63873400,1,2123349012,2262490794,28800
2002-09-12,4,9871.32,9954.82,9807.54,9896.33,170804600,0,4883500054,4615211461,59311
2002-09-13,5,9773.62,9784,9609.77,9650.97,283806000,0,6416509278,4698995367,71958
2002-09-16,1,9624.84,9639.47,9454.92,9505.13,322838600,0,5993358525,4600891449,69316
2002-09-17,2,9605.32,9732.33,9563.19,9707.25,296911600,0,6555429645,5499875858,76768
2002-09-18,3,9517.42,9517.42,9401.49,9474.07,224988400,0,5862191314,4821141839,64664
2002-09-19,4,9485.55,9511.29,9389.87,9427.79,186647200,0,5209160622,4934217465,65359
2002-09-20,5,9260.47,9337.86,9210.94,9328.22,220920600,0,6119075124,4704481249,71588
2002-09-23,1,9295.69,9322.36,9219.08,9314.87,141863400,0,3884139446,4294268946,50623
2002-09-24,2,9167.76,9213.28,9141.12,9197.68,173091000,0,4718167458,5015178461,59472
2002-09-25,3,9076.83,9193.81,9014.58,9124.91,205115200,0,6602475192,6378428851,77493
2002-09-26,4,9251.24,9286.27,9206.9,9270.71,171300600,0,5357804881,4574442269,70491
2002-09-27,5,9338.66,9368.14,9245.88,9294.46,207134800,0,5872909362,4503691812,70636
2002-09-30,1,9098.93,9125.93,9046.96,9072.21,221724000,0,5909007839,3797613106,63413
2002-10-02,3,9227.38,9241.86,9062.49,9109.35,282008800,0,6177407159,3870780115,62698
2002-10-03,4,9054.57,9106.9,8915,8984.32,263433200,0,6176882674,3863678225,69798
2002-10-04,5,8989.65,9065.52,8971.92,9051.37,236714600,0,4781988853,3560299630,55980
2002-10-07,1,8844.69,8936.34,8844.11,8931.4,240968000,0,5200940914,3834437373,61650
2002-10-08,2,8910.08,8989.68,8883.16,8977.41,247068200,0,4963091256,3261576542,57669
2002-10-09,3,8945.96,8986.01,8876.62,8977.35,222983800,0,4502070991,3436503261,59499
2002-10-10,4,8808.35,8863.46,8772.48,8858.69,244729400,0,4792356587,3836139382,58641
2002-10-11,5,8956.33,8990.76,8863.46,8965.73,221067800,0,4813542279,3768954245,63931
2002-10-15,2,9153.25,9348.68,9131.41,9336.39,403547600,0,8059770932,4972059645,93948
2002-10-16,3,9515.07,9515.07,9416.82,9459.14,341481400,0,7331802821,5089788286,97403
2002-10-17,4,9465.61,9598.49,9465.61,9576.15,268242600,0,7554767216,4991069967,96045
2002-10-18,5,9741.05,9744.64,9603.73,9613.07,426663600,0,9899776340,5803623867,117843
2002-10-21,1,9593.65,9641.08,9549.09,9570.36,186206800,0,4327253715,3556220593,56809
2002-10-22,2,9633.51,9656.9,9507.99,9548.94,195717200,0,4795513613,3913041322,64106
2002-10-23,3,9545.66,9809.51,9545.66,9804.65,398447800,0,7357083913,4636028535,89184
2002-10-24,4,9774.78,9803.3,9712.9,9787.49,300341400,0,5254978562,4801359372,75481
2002-10-25,5,9715.67,9728.56,9655,9722.54,201148600,0,4638819826,4538900871,64500
2002-10-28,1,9732.6,9860.87,9730,9853.74,208841600,0,4894082489,3894053330,62355
2002-10-29,2,9799.87,9812.15,9626.99,9634.67,198923400,0,4635182546,3995425899,66022
2002-10-30,3,9605.64,9652.15,9546.58,9560.46,212661200,0,4741894178,3874123836,60354
2002-10-31,4,9609.16,9625.72,9418.88,9441.25,174789400,0,4889040098,4101320824,62806
2002-11-01,5,9467.89,9495.15,9388.35,9407.68,199148800,0,5111758157,4107506978,62303
2002-11-04,1,9587.97,9739.13,9565.79,9720.83,213267400,0,5381886207,4288005560,66513
2002-11-05,2,9751.93,9751.93,9606.68,9655.36,193967000,0,5410693438,5547403450,61696
2002-11-06,3,9788.31,9822.07,9751.68,9773.98,254543000,0,6777274133,4448104025,72310
2002-11-07,4,9758.66,9880.13,9719.64,9844.38,335469600,0,6165556420,4698458040,75100
2002-11-08,5,9714.19,9796.47,9708.19,9770.68,313337800,0,5913509013,4587228904,71633
2002-11-11,1,9699.75,9699.75,9527.83,9580.88,264728400,0,5724270013,4417374667,67986
2002-11-12,2,9530.46,9650.09,9522.45,9613.84,228389400,0,4032717921,3783089083,51684
2002-11-13,3,9645.88,9645.88,9533.5,9616.62,200873600,0,4749912217,3927099430,58994
2002-11-14,4,9644.21,9806.08,9644.21,9740.84,345678000,0,6330542156,5305609626,73891
2002-11-15,5,9721.86,9885.98,9721.86,9865.65,424897800,0,10276045676,5867291737,104465
2002-11-18,1,9994.29,10006.07,9843.09,9920.09,250304400,0,7295106822,4978767412,80848
2002-11-19,2,9882.39,9996.89,9856.95,9965.03,236917600,0,6425821111,4594125136,74272
2002-11-20,3,9952.45,10011.53,9947.54,9971.15,189936400,0,5657507815,4750702659,67467
2002-11-21,4,10081.02,10081.02,9989.79,10003.54,214189400,0,5844403983,4659077820,69594
