@relation QueryResult_rsi14

@attribute Date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Adj_C numeric
@attribute rsi14 numeric

@data
1987-06-30T00:00:00,3178.2,66.656432
1987-07-01T00:00:00,3164,64.036002
1987-07-02T00:00:00,3229.2,69.88924
1987-07-03T00:00:00,3226,69.293158
1987-07-06T00:00:00,3220.7,68.254819
1987-07-07T00:00:00,3236.4,69.703108
1987-07-08T00:00:00,3251.4,71.061515
1987-07-09T00:00:00,3226,65.690443
1987-07-10T00:00:00,3207.2,61.95768
1987-07-13T00:00:00,3216.1,63.02873
1987-07-14T00:00:00,3253.4,67.197031
1987-07-15T00:00:00,3262.3,68.120603
1987-07-16T00:00:00,3305.8,72.235272
1987-07-17T00:00:00,3342.1,75.121026
1987-07-20T00:00:00,3386.1,78.093208
1987-07-21T00:00:00,3353.8,71.354185
1987-07-22T00:00:00,3380.4,73.390671
1987-07-23T00:00:00,3366.8,70.626102
1987-07-24T00:00:00,3343.6,66.05495
1987-07-27T00:00:00,3346.9,66.388195
1987-07-28T00:00:00,3337.5,64.447353
1987-07-29T00:00:00,3389.7,69.73816
1987-07-30T00:00:00,3419.3,72.259174
1987-07-31T00:00:00,3479.2,76.521695
1987-08-03T00:00:00,3514.3,78.597021
1987-08-04T00:00:00,3531.9,79.572086
1987-08-05T00:00:00,3517.1,76.419287
1987-08-06T00:00:00,3498,72.430739
1987-08-07T00:00:00,3536.2,75.216761
1987-08-10T00:00:00,3543.8,75.741991
1987-08-11T00:00:00,3546.5,75.937099
1987-08-12T00:00:00,3557.4,76.750094
1987-08-13T00:00:00,3514.3,67.096771
1987-08-14T00:00:00,3512.2,66.656855
1987-08-17T00:00:00,3510.7,66.322364
1987-08-18T00:00:00,3504.9,64.964865
1987-08-19T00:00:00,3450.6,53.851746
1987-08-20T00:00:00,3408,47.051491
1987-08-21T00:00:00,3446.6,52.860151
1987-08-24T00:00:00,3391.3,45.208354
1987-08-25T00:00:00,3447.3,52.678679
1987-08-26T00:00:00,3526.3,60.79858
1987-08-27T00:00:00,3583.3,65.410395
1987-08-28T00:00:00,3611.7,67.464203
1987-09-01T00:00:00,3644.3,69.689038
1987-09-02T00:00:00,3635.9,68.39131
1987-09-03T00:00:00,3654,69.700603
1987-09-04T00:00:00,3654.5,69.737895
1987-09-07T00:00:00,3646.3,68.254249
1987-09-08T00:00:00,3601.5,60.661124
1987-09-09T00:00:00,3577.6,57.016947
