@relation QueryResult_rsi1_rsi2_rsi3_rsi4_rsi5_rsi6_rsi7_rsi8_rsi9_rsi10_rsi11_rsi12_rsi13_rsi14_rsi15_rsi16_rsi17_rsi18_rsi19_rsi20_rsi21_rsi22_rsi23_rsi24_rsi25_rsi26_rsi27_rsi28_rsi29_rsi30_rsi31_rsi32_rsi33_rsi34_rsi35_rsi36_rsi37_rsi38_rsi39_rsi40_rsi41_rsi42_rsi43_rsi44_rsi45_rsi46_rsi47_rsi48_rsi49_rsi50

@attribute Date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Adj_C numeric
@attribute rsi1 numeric
@attribute rsi2 numeric
@attribute rsi3 numeric
@attribute rsi4 numeric
@attribute rsi5 numeric
@attribute rsi6 numeric
@attribute rsi7 numeric
@attribute rsi8 numeric
@attribute rsi9 numeric
@attribute rsi10 numeric
@attribute rsi11 numeric
@attribute rsi12 numeric
@attribute rsi13 numeric
@attribute rsi14 numeric
@attribute rsi15 numeric
@attribute rsi16 numeric
@attribute rsi17 numeric
@attribute rsi18 numeric
@attribute rsi19 numeric
@attribute rsi20 numeric
@attribute rsi21 numeric
@attribute rsi22 numeric
@attribute rsi23 numeric
@attribute rsi24 numeric
@attribute rsi25 numeric
@attribute rsi26 numeric
@attribute rsi27 numeric
@attribute rsi28 numeric
@attribute rsi29 numeric
@attribute rsi30 numeric
@attribute rsi31 numeric
@attribute rsi32 numeric
@attribute rsi33 numeric
@attribute rsi34 numeric
@attribute rsi35 numeric
@attribute rsi36 numeric
@attribute rsi37 numeric
@attribute rsi38 numeric
@attribute rsi39 numeric
@attribute rsi40 numeric
@attribute rsi41 numeric
@attribute rsi42 numeric
@attribute rsi43 numeric
@attribute rsi44 numeric
@attribute rsi45 numeric
@attribute rsi46 numeric
@attribute rsi47 numeric
@attribute rsi48 numeric
@attribute rsi49 numeric
@attribute rsi50 numeric

@data
1987-01-22T00:00:00,2536.9,0,2535.4,2506.9,2495.3,2504.76,2513.816667,2523.014286,2531.4875,2540.755556,2542.85,2548.345455,2553.241667,2555.6,2555.371429,2554.353333,2555.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-23T00:00:00,2499.4,0,2518.15,2523.4,2505.025,2496.12,2503.866667,2511.757143,2520.0625,2527.922222,2536.62,2538.9,2544.266667,2549.1,2551.585714,2551.64,2550.91875,2551.941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-26T00:00:00,2484.4,0,2491.9,2506.9,2513.65,2500.9,2494.166667,2501.085714,2508.3375,2516.1,2523.57,2531.872727,2534.358333,2539.661538,2544.478571,2547.106667,2547.4375,2547.005882,2548.188889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-27T00:00:00,2524,0,2504.2,2502.6,2511.175,2515.72,2504.75,2498.428571,2503.95,2510.077778,2516.89,2523.609091,2531.216667,2533.561538,2538.542857,2543.113333,2545.6625,2546.058824,2545.727778,2546.915789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-28T00:00:00,2553.3,0,2538.65,2520.566667,2515.275,2519.6,2521.983333,2511.685714,2505.2875,2509.433333,2514.4,2520.2,2526.083333,2532.915385,2534.971429,2539.526667,2543.75,2546.111765,2546.461111,2546.126316,2547.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-02T00:00:00,2585.2,0,2569.25,2554.166667,2536.725,2529.26,2530.533333,2531.014286,2520.875,2514.166667,2517.01,2520.836364,2525.616667,2530.630769,2536.65,2538.32,2542.38125,2546.188235,2548.283333,2548.5,2548.08,2549.042857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-03T00:00:00,2606.4,0,2595.8,2581.633333,2567.225,2550.66,2542.116667,2541.371429,2540.4375,2530.377778,2523.39,2525.136364,2527.966667,2531.830769,2536.042857,2541.3,2542.575,2546.147059,2549.533333,2551.342105,2551.395,2550.857143,2551.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-04T00:00:00,2636.6,0,2621.5,2609.4,2595.375,2581.1,2564.983333,2555.614286,2553.275,2551.122222,2541,2533.681818,2534.425,2536.323077,2539.314286,2542.746667,2547.25625,2548.105882,2551.172222,2554.115789,2555.605,2555.452381,2554.754545,2555.343478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-05T00:00:00,2672.4,0,2654.5,2638.466667,2625.15,2610.78,2596.316667,2580.328571,2570.2125,2566.511111,2563.25,2552.945455,2545.241667,2545.038462,2546.042857,2548.186667,2550.85,2554.617647,2555.011111,2557.552632,2560.03,2561.166667,2560.768182,2559.869565,2560.220833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-06T00:00:00,2673.6,0,2673,2660.866667,2647.25,2634.84,2621.25,2607.357143,2591.9875,2581.7,2577.22,2573.281818,2563,2555.115385,2554.221429,2554.546667,2556.025,2558.070588,2561.227778,2561.252632,2563.355,2565.438095,2566.277273,2565.673913,2564.608333,2564.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-09T00:00:00,2713.7,0,2693.65,2686.566667,2674.075,2660.54,2647.983333,2634.457143,2620.65,2605.511111,2594.9,2589.627273,2584.983333,2574.592308,2566.442857,2564.853333,2564.49375,2565.3,2566.716667,2569.252632,2568.875,2570.514286,2572.177273,2572.686957,2571.841667,2570.572,2570.484615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-10T00:00:00,2694.9,0,2704.3,2694.066667,2688.65,2678.24,2666.266667,2654.685714,2642.0125,2628.9,2614.45,2603.990909,2598.4,2593.438462,2583.185714,2575.006667,2572.98125,2572.164706,2572.5,2573.463158,2575.535,2574.87619,2576.168182,2577.513043,2577.779167,2576.764,2575.353846,2575.092593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-11T00:00:00,2739.5,0,2717.2,2716.033333,2705.425,2698.82,2688.45,2676.728571,2665.2875,2652.844444,2639.96,2625.818182,2615.283333,2609.253846,2603.871429,2593.606667,2585.2875,2582.776471,2581.461111,2581.289474,2581.765,2583.342857,2582.359091,2583.269565,2584.2625,2584.248,2583.023077,2581.433333,2580.964286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-12T00:00:00,2754.7,0,2747.1,2729.7,2725.7,2715.28,2708.133333,2697.914286,2686.475,2675.222222,2663.03,2650.390909,2636.558333,2626.007692,2619.642857,2613.926667,2603.675,2595.252941,2592.327778,2590.578947,2589.96,2590,2591.131818,2589.852174,2590.4125,2591.08,2590.803846,2589.381481,2587.621429,2586.955172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-13T00:00:00,2740.5,0,2747.6,2744.9,2732.4,2728.66,2719.483333,2712.757143,2703.2375,2692.477778,2681.75,2670.072727,2657.9,2644.553846,2634.185714,2627.7,2621.8375,2611.723529,2603.322222,2600.126316,2598.075,2597.128571,2596.840909,2597.626087,2596.129167,2596.416,2596.826923,2596.348148,2594.778571,2592.893103,2592.073333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-16T00:00:00,2766.1,0,2753.3,2753.766667,2750.2,2739.14,2734.9,2726.142857,2719.425,2710.222222,2699.84,2689.418182,2678.075,2666.223077,2653.235714,2642.98,2636.35,2630.323529,2620.3,2611.889474,2608.425,2606.07619,2604.809091,2604.2,2604.645833,2602.928,2602.942308,2603.096296,2602.410714,2600.686207,2598.666667,2597.687097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-17T00:00:00,2792.1,0,2779.1,2766.233333,2763.35,2758.58,2747.966667,2743.071429,2734.3875,2727.5,2718.41,2708.227273,2697.975,2686.846154,2675.214286,2662.493333,2652.3,2645.511765,2639.311111,2629.342105,2620.9,2617.171429,2614.531818,2612.952174,2612.029167,2612.144,2610.203846,2609.948148,2609.846429,2608.951724,2607.066667,2604.906452,2603.7625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
