@relation QueryResult_rsi1_rsi2_rsi3_rsi4_rsi5_rsi6_rsi7_rsi8_rsi9_rsi10_rsi11_rsi12_rsi13_rsi14_rsi15_rsi16_rsi17_rsi18_rsi19_rsi20_rsi21_rsi22_rsi23_rsi24_rsi25_rsi26_rsi27_rsi28_rsi29_rsi30_rsi31_rsi32_rsi33_rsi34_rsi35_rsi36_rsi37_rsi38_rsi39_rsi40_rsi41_rsi42_rsi43_rsi44_rsi45_rsi46_rsi47_rsi48_rsi49_rsi50

@attribute Date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Adj_C numeric
@attribute rsi1 numeric
@attribute rsi2 numeric
@attribute rsi3 numeric
@attribute rsi4 numeric
@attribute rsi5 numeric
@attribute rsi6 numeric
@attribute rsi7 numeric
@attribute rsi8 numeric
@attribute rsi9 numeric
@attribute rsi10 numeric
@attribute rsi11 numeric
@attribute rsi12 numeric
@attribute rsi13 numeric
@attribute rsi14 numeric
@attribute rsi15 numeric
@attribute rsi16 numeric
@attribute rsi17 numeric
@attribute rsi18 numeric
@attribute rsi19 numeric
@attribute rsi20 numeric
@attribute rsi21 numeric
@attribute rsi22 numeric
@attribute rsi23 numeric
@attribute rsi24 numeric
@attribute rsi25 numeric
@attribute rsi26 numeric
@attribute rsi27 numeric
@attribute rsi28 numeric
@attribute rsi29 numeric
@attribute rsi30 numeric
@attribute rsi31 numeric
@attribute rsi32 numeric
@attribute rsi33 numeric
@attribute rsi34 numeric
@attribute rsi35 numeric
@attribute rsi36 numeric
@attribute rsi37 numeric
@attribute rsi38 numeric
@attribute rsi39 numeric
@attribute rsi40 numeric
@attribute rsi41 numeric
@attribute rsi42 numeric
@attribute rsi43 numeric
@attribute rsi44 numeric
@attribute rsi45 numeric
@attribute rsi46 numeric
@attribute rsi47 numeric
@attribute rsi48 numeric
@attribute rsi49 numeric
@attribute rsi50 numeric

@data
1987-01-22T00:00:00,2536.9,0,2528.074336,2521.792102,2520.35066,2521.408875,2523.481484,2526.174528,2528.292647,2530.644772,2533.151199,2536.086132,2539.439039,2545.964185,2552.444698,2554.003333,2555.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-23T00:00:00,2499.4,0,2508.958112,2510.596051,2511.970396,2514.072583,2516.60106,2519.480896,2521.872058,2524.395818,2527.014617,2529.971777,2533.279187,2539.312158,2545.372072,2547.177917,2548.657353,2551.941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-26T00:00:00,2484.4,0,2492.586037,2497.498026,2500.942238,2504.181722,2507.400757,2510.710672,2513.544934,2516.396654,2519.266505,2522.376481,2525.759312,2531.467564,2537.242462,2539.330677,2541.097664,2544.436601,2548.188889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-27T00:00:00,2524,0,2513.528679,2510.749013,2510.165343,2510.787815,2512.143398,2514.033004,2515.868282,2517.917323,2520.12714,2522.647067,2525.488649,2530.400769,2535.476801,2537.414342,2539.086174,2542.165868,2545.64269,2546.915789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-28T00:00:00,2553.3,0,2540.042893,2532.024506,2527.419206,2524.958543,2523.902427,2523.849753,2524.186442,2524.993859,2526.158569,2527.755889,2529.767318,2533.672088,2537.853227,2539.40005,2540.758389,2543.402994,2546.448723,2547.554211,2547.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-02T00:00:00,2585.2,0,2570.147631,2558.612253,2550.531523,2545.039029,2541.416019,2539.187315,2537.74501,2537.035087,2536.893375,2537.329908,2538.295423,2541.033218,2544.16613,2545.125043,2545.986814,2548.047105,2550.527805,2551.318789,2550.850714,2549.042857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-03T00:00:00,2606.4,0,2594.315877,2582.506127,2572.878914,2565.492686,2559.982871,2555.990486,2553.001675,2550.90807,2549.530943,2548.84159,2548.77305,2550.37133,2552.46398,2552.784413,2553.094248,2554.53076,2556.409088,2556.826911,2556.141122,2554.257143,2551.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-04T00:00:00,2636.6,0,2622.505292,2609.553063,2598.367348,2589.195124,2581.873479,2576.142865,2571.57908,2568.046456,2565.361681,2563.467992,2562.284889,2562.689711,2563.682116,2563.261361,2562.918454,2563.649565,2564.850237,2564.804219,2563.803873,2561.742857,2559.036957,2555.343478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-05T00:00:00,2672.4,0,2655.768431,2640.976532,2627.980409,2616.930083,2607.7382,2600.207148,2593.983729,2588.917164,2584.823193,2581.623326,2579.225675,2578.36261,2578.177834,2576.903691,2575.798636,2575.732946,2576.171265,2575.563798,2574.146361,2571.802597,2568.894612,2565.098188,2560.220833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-06T00:00:00,2673.6,0,2667.656144,2657.288266,2646.228245,2635.820055,2626.555857,2618.555361,2611.676234,2605.853732,2600.964431,2596.952772,2593.744802,2591.967951,2590.900789,2588.99073,2587.304679,2586.607064,2586.426921,2585.367418,2583.618136,2581.056907,2577.999429,2574.140006,2569.291167,2564.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-09T00:00:00,2713.7,0,2698.352048,2685.494133,2673.216947,2661.780037,2651.454183,2642.341521,2634.348182,2627.422985,2621.461807,2616.410643,2612.199448,2609.358244,2607.274017,2604.579389,2602.174716,2600.728501,2599.824087,2598.200676,2596.006885,2593.11537,2589.799478,2585.770006,2580.843873,2576.213231,2570.484615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987-02-10T00:00:00,2694.9,0,2696.050683,2690.197066,2681.890168,2672.820024,2663.867274,2655.481141,2647.804141,2640.918388,2634.814206,2629.492203,2624.92261,2621.578495,2618.957482,2615.869465,2613.083573,2611.192001,2609.832078,2607.870608,2605.425277,2602.368518,2598.938654,2594.864172,2589.968363,2585.342982,2579.70057,2575.092593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
